X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,0,14100,3.92,21300,5.92,60,5.9,7.2,0.0,3.73,2.87,4.41,3.66,780.78,401.17,234.05,433.40,0.13,0.29,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,1,13120,3.64,20320,5.64,-980,0.0,0.0,0.0,3.71,2.85,4.42,3.65,763.89,383.79,239.53,424.72,0.13,0.29,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,2,12240,3.40,19440,5.40,-880,0.0,0.0,0.0,3.68,2.82,4.43,3.64,747.16,366.70,244.70,416.06,0.13,0.30,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,3,11480,3.19,18680,5.19,-760,0.0,0.0,0.0,3.66,2.79,4.44,3.63,733.00,352.57,250.50,409.40,0.13,0.25,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,4,10840,3.01,18040,5.01,-640,0.0,0.0,0.0,3.64,2.78,4.46,3.62,720.88,340.78,256.63,404.25,0.13,0.25,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,5,10260,2.85,17460,4.85,-580,0.0,0.0,0.0,3.63,2.76,4.47,3.62,710.13,330.55,263.00,400.11,0.13,0.25,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,6,9760,2.71,16960,4.71,-500,0.0,0.0,0.0,3.61,2.75,4.48,3.61,700.74,321.92,269.14,396.83,0.13,0.26,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,7,9340,2.59,16540,4.59,-420,0.0,0.0,0.0,3.60,2.73,4.49,3.61,692.64,314.57,274.96,394.23,0.13,0.26,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,8,8960,2.49,16160,4.49,-380,0.0,0.0,0.0,3.59,2.72,4.50,3.61,685.61,308.37,280.25,392.14,0.13,0.26,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,9,8640,2.40,15840,4.40,-320,0.0,0.0,0.0,3.58,2.72,4.51,3.60,679.61,303.11,285.07,390.47,0.13,0.26,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,10,8380,2.33,15580,4.33,-260,0.0,0.0,0.0,3.57,2.71,4.52,3.60,674.47,298.71,289.25,389.10,0.13,0.26,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,11,8140,2.26,15340,4.26,-240,0.0,0.0,0.0,3.57,2.70,4.52,3.60,670.16,295.00,292.92,388.01,0.13,0.26,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,12,7960,2.21,15160,4.21,-180,0.0,0.0,0.0,3.56,2.70,4.53,3.60,666.51,291.95,295.94,387.09,0.13,0.26,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,13,7800,2.17,15000,4.17,-160,0.0,0.0,0.0,3.56,2.69,4.53,3.60,663.29,289.20,298.73,386.30,0.13,0.27,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,14,7660,2.13,14860,4.13,-140,0.0,0.0,0.0,3.55,2.69,4.54,3.60,660.61,286.99,300.92,385.62,0.13,0.27,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,15,7560,2.10,14760,4.10,-100,0.0,0.0,0.0,3.55,2.68,4.54,3.60,658.49,285.18,302.73,385.09,0.13,0.27,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,16,7460,2.07,14660,4.07,-100,0.0,0.0,0.0,3.55,2.68,4.54,3.60,656.75,283.75,304.02,384.60,0.13,0.27,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,17,7400,2.06,14600,4.06,-60,0.0,0.0,0.0,3.55,2.68,4.55,3.60,655.43,282.68,304.89,384.20,0.13,0.27,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,18,7340,2.04,14540,4.04,-60,0.0,0.0,0.0,3.55,2.68,4.55,3.60,654.48,281.83,305.53,383.88,0.13,0.27,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,19,7300,2.03,14500,4.03,-40,0.0,0.0,0.0,3.55,2.68,4.55,3.60,653.75,281.23,305.80,383.57,0.13,0.27,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,20,7280,2.02,14480,4.02,-20,0.0,0.0,0.0,3.55,2.67,4.55,3.60,653.29,280.77,305.92,383.33,0.13,0.28,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,21,7260,2.02,14460,4.02,-20,0.0,0.0,0.0,3.55,2.67,4.55,3.59,652.74,280.31,305.98,383.04,0.13,0.28,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,22,7240,2.01,14440,4.01,-20,0.0,0.0,0.0,3.55,2.67,4.55,3.59,652.46,279.99,305.93,382.83,0.13,0.28,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,23,7240,2.01,14440,4.01,0,0.0,0.0,0.0,3.54,2.66,4.55,3.59,651.74,279.21,305.64,382.25,0.13,0.29,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,24,7220,2.01,14420,4.01,-20,0.0,0.0,0.0,3.52,2.66,4.55,3.58,650.70,278.17,305.55,381.57,0.14,0.29,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,25,7180,1.99,14380,3.99,-40,0.0,0.0,0.0,3.48,2.65,4.55,3.57,649.18,276.74,305.87,380.77,0.14,0.30,0.00,0.15
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,26,7120,1.98,14320,3.98,-60,0.0,0.0,0.0,3.47,2.63,4.54,3.56,649.24,276.63,304.67,380.30,0.15,0.31,0.00,0.15
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,27,7140,1.98,14340,3.98,20,0.0,0.0,0.0,3.46,2.60,4.53,3.54,649.54,276.69,303.07,379.80,0.15,0.31,0.00,0.16
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,28,7160,1.99,14360,3.99,20,0.0,0.0,0.0,3.46,2.58,4.53,3.53,650.11,276.97,301.17,379.33,0.15,0.32,0.00,0.16
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,29,7180,1.99,14380,3.99,20,0.0,0.0,0.0,3.46,2.57,4.52,3.52,650.65,277.22,299.26,378.84,0.15,0.33,0.00,0.16
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,30,7220,2.01,14420,4.01,40,0.0,0.0,0.0,3.46,2.55,4.51,3.51,650.97,277.20,297.71,378.33,0.15,0.34,0.00,0.16
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,31,7240,2.01,14440,4.01,20,0.0,0.0,0.0,3.46,2.54,4.50,3.51,651.24,277.25,296.04,377.79,0.15,0.34,0.00,0.17
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,32,7260,2.02,14460,4.02,20,0.0,0.0,0.0,3.46,2.53,4.50,3.50,651.62,277.36,294.29,377.28,0.12,0.35,0.00,0.16
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,33,7280,2.02,14480,4.02,20,0.0,0.0,0.0,3.46,2.53,4.49,3.50,651.86,277.35,292.68,376.72,0.12,0.36,0.00,0.16
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,34,7300,2.03,14500,4.03,20,0.0,0.0,0.0,3.46,2.53,4.48,3.49,651.99,277.26,291.16,376.15,0.12,0.36,0.00,0.17
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,35,7320,2.03,14520,4.03,20,0.0,0.0,0.0,3.46,2.52,4.48,3.49,652.05,277.12,289.70,375.57,0.12,0.37,0.00,0.17
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,36,7340,2.04,14540,4.04,20,0.0,0.0,0.0,3.46,2.52,4.48,3.49,652.09,276.97,288.28,374.99,0.12,0.38,0.00,0.17
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,37,7340,2.04,14540,4.04,0,0.0,0.0,0.0,3.46,2.52,4.47,3.49,651.87,276.62,287.07,374.35,0.12,0.38,0.00,0.18
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,38,7340,2.04,14540,4.04,0,0.0,0.0,0.0,3.46,2.52,4.47,3.49,651.74,276.23,285.99,373.77,0.13,0.39,0.00,0.18
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,39,7340,2.04,14540,4.04,0,0.0,0.0,0.0,3.46,2.52,4.46,3.48,651.32,275.73,284.98,373.09,0.13,0.40,0.00,0.18
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,40,7340,2.04,14540,4.04,0,0.0,0.0,0.0,3.46,2.52,4.46,3.48,651.08,275.37,283.83,372.47,0.13,0.41,0.00,0.18
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,41,7340,2.04,14540,4.04,0,0.0,0.0,0.0,3.46,2.52,4.46,3.48,650.72,274.94,282.77,371.82,0.13,0.41,0.00,0.19
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,42,7340,2.04,14540,4.04,0,0.0,0.0,0.0,3.45,2.52,4.46,3.48,650.31,274.47,281.77,371.17,0.13,0.42,0.00,0.19
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,43,7340,2.04,14540,4.04,0,0.0,0.0,0.0,3.45,2.52,4.45,3.48,649.88,273.98,280.78,370.51,0.14,0.43,0.00,0.19
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,44,7320,2.03,14520,4.03,-20,0.0,0.0,0.0,3.45,2.52,4.45,3.48,649.46,273.45,279.81,369.84,0.14,0.37,0.00,0.17
