X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,0,14100,3.92,21300,5.92,60,6.1,7.2,0.0,4.81,3.33,4.41,4.10,788.74,418.37,236.15,442.63,0.05,0.13,0.00,0.06
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,1,14040,3.90,21240,5.90,-60,0.0,0.0,0.0,4.81,3.34,4.41,4.11,790.25,420.61,238.46,444.72,0.05,0.14,0.00,0.06
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,2,13980,3.88,21180,5.88,-60,0.0,0.0,0.0,4.81,3.33,4.41,4.11,788.93,419.24,238.58,443.92,0.05,0.14,0.00,0.06
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,3,13920,3.87,21120,5.87,-60,0.0,0.0,0.0,4.81,3.33,4.41,4.11,787.71,417.95,238.62,443.14,0.05,0.12,0.00,0.06
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,4,13860,3.85,21060,5.85,-60,0.0,0.0,0.0,4.81,3.33,4.41,4.11,786.65,416.83,238.65,442.47,0.05,0.12,0.00,0.06
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,5,13820,3.84,21020,5.84,-40,0.0,0.0,0.0,4.80,3.33,4.41,4.10,785.65,415.71,238.68,441.81,0.05,0.12,0.00,0.06
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,6,13760,3.82,20960,5.82,-60,0.0,0.0,0.0,4.80,3.32,4.41,4.10,784.70,414.72,238.71,441.21,0.05,0.12,0.00,0.06
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,7,13720,3.81,20920,5.81,-40,0.0,0.0,0.0,4.80,3.32,4.41,4.10,783.90,413.83,238.72,440.68,0.05,0.12,0.00,0.06
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,8,13700,3.81,20900,5.81,-20,0.0,0.0,0.0,4.80,3.32,4.41,4.10,783.17,413.07,238.72,440.21,0.05,0.12,0.00,0.06
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,9,13660,3.79,20860,5.79,-40,0.0,0.0,0.0,4.80,3.32,4.41,4.10,782.56,412.39,238.71,439.80,0.05,0.12,0.00,0.06
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,10,13640,3.79,20840,5.79,-20,0.0,0.0,0.0,4.80,3.32,4.41,4.10,782.00,411.81,238.70,439.44,0.05,0.12,0.00,0.06
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,11,13600,3.78,20800,5.78,-40,0.0,0.0,0.0,4.80,3.32,4.41,4.10,781.55,411.30,238.67,439.13,0.04,0.12,0.00,0.06
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,12,13580,3.77,20780,5.77,-20,0.0,0.0,0.0,4.80,3.32,4.41,4.10,781.14,410.87,238.64,438.85,0.04,0.12,0.00,0.06
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,13,13560,3.77,20760,5.77,-20,0.0,0.0,0.0,4.79,3.31,4.41,4.09,780.73,410.38,238.61,438.55,0.04,0.12,0.00,0.06
