X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,0,14100,3.92,21300,5.92,60,5.7,7.2,0.0,3.69,2.82,4.42,3.64,763.04,373.78,238.92,420.52,0.47,0.46,0.00,0.29
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,1,11820,3.28,19020,5.28,-2280,0.0,0.0,0.0,3.63,2.76,4.46,3.61,722.06,334.31,257.50,402.44,0.47,0.46,0.00,0.29
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,2,9980,2.77,17180,4.77,-1840,0.0,0.0,0.0,3.58,2.71,4.50,3.60,688.36,304.09,280.43,391.28,0.48,0.47,0.00,0.29
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,3,8500,2.36,15700,4.36,-1480,0.0,0.0,0.0,3.54,2.68,4.55,3.59,660.88,281.21,305.28,385.15,0.48,0.39,0.00,0.26
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,4,7340,2.04,14540,4.04,-1160,0.0,0.0,0.0,3.51,2.65,4.59,3.59,638.31,263.48,329.52,381.95,0.48,0.39,0.00,0.27
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,5,6400,1.78,13600,3.78,-940,0.0,0.0,0.0,3.48,2.63,4.63,3.59,619.81,249.59,351.88,380.51,0.48,0.39,0.00,0.27
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,6,5660,1.57,12860,3.57,-740,0.0,0.0,0.0,3.46,2.62,4.66,3.59,605.15,238.97,370.98,380.02,0.48,0.39,0.00,0.27
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,7,5100,1.42,12300,3.42,-560,0.0,0.0,0.0,3.44,2.61,4.69,3.60,593.78,230.91,386.82,380.09,0.48,0.40,0.00,0.27
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,8,4660,1.29,11860,3.29,-440,0.0,0.0,0.0,3.43,2.60,4.71,3.60,585.04,224.86,399.25,380.30,0.48,0.40,0.00,0.27
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,9,4320,1.20,11520,3.20,-340,0.0,0.0,0.0,3.42,2.59,4.73,3.60,578.52,220.36,408.92,380.61,0.48,0.40,0.00,0.27
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,10,4080,1.13,11280,3.13,-240,0.0,0.0,0.0,3.41,2.58,4.74,3.60,573.64,217.07,415.96,380.80,0.48,0.40,0.00,0.27
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,11,3900,1.08,11100,3.08,-180,0.0,0.0,0.0,3.41,2.58,4.75,3.60,570.16,214.67,421.13,380.96,0.48,0.40,0.00,0.27
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,12,3780,1.05,10980,3.05,-120,0.0,0.0,0.0,3.41,2.58,4.75,3.60,567.64,212.97,424.50,380.96,0.49,0.41,0.00,0.27
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,13,3680,1.02,10880,3.02,-100,0.0,0.0,0.0,3.40,2.58,4.76,3.60,565.75,211.67,426.99,380.93,0.49,0.41,0.00,0.28
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,14,3620,1.01,10820,3.01,-60,0.0,0.0,0.0,3.40,2.57,4.76,3.60,564.53,210.82,428.24,380.78,0.49,0.41,0.00,0.28
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,15,3580,0.99,10780,2.99,-40,0.0,0.0,0.0,3.40,2.57,4.76,3.60,563.86,210.26,428.84,380.63,0.49,0.41,0.00,0.28
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,16,3560,0.99,10760,2.99,-20,0.0,0.0,0.0,3.40,2.57,4.76,3.60,563.50,209.97,428.63,380.35,0.49,0.42,0.00,0.28
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,17,3560,0.99,10760,2.99,0,0.0,0.0,0.0,3.40,2.57,4.76,3.60,563.48,209.91,427.85,380.03,0.49,0.42,0.00,0.28
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,18,3580,0.99,10780,2.99,20,0.0,0.0,0.0,3.40,2.57,4.76,3.60,563.73,209.95,426.90,379.75,0.49,0.42,0.00,0.28
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,19,3580,0.99,10780,2.99,0,0.0,0.0,0.0,3.40,2.57,4.76,3.60,564.06,210.11,425.53,379.38,0.49,0.42,0.00,0.28
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,20,3620,1.01,10820,3.01,40,0.0,0.0,0.0,3.40,2.57,4.75,3.60,564.57,210.32,424.15,379.07,0.50,0.42,0.00,0.28
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,21,3640,1.01,10840,3.01,20,0.0,0.0,0.0,3.41,2.57,4.75,3.60,564.86,210.50,422.71,378.67,0.50,0.43,0.00,0.28
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,22,3660,1.02,10860,3.02,20,0.0,0.0,0.0,3.41,2.57,4.75,3.60,565.40,210.74,421.28,378.36,0.50,0.43,0.00,0.29
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,23,3680,1.02,10880,3.02,20,0.0,0.0,0.0,3.40,2.56,4.75,3.59,565.66,210.76,419.26,377.67,0.50,0.44,0.00,0.29
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,24,3720,1.03,10920,3.03,40,0.0,0.0,0.0,3.36,2.56,4.74,3.58,565.95,210.80,417.00,376.91,0.51,0.44,0.00,0.29
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,25,3760,1.04,10960,3.04,40,0.0,0.0,0.0,3.34,2.54,4.74,3.56,566.08,210.78,414.77,376.10,0.51,0.45,0.00,0.30
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,26,3780,1.05,10980,3.05,20,0.0,0.0,0.0,3.34,2.51,4.72,3.55,567.83,211.56,410.74,375.32,0.51,0.46,0.00,0.30
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,27,3860,1.07,11060,3.07,80,0.0,0.0,0.0,3.34,2.49,4.71,3.53,569.43,212.41,406.37,374.40,0.50,0.47,0.00,0.30
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,28,3940,1.09,11140,3.09,80,0.0,0.0,0.0,3.34,2.47,4.69,3.52,571.20,213.39,401.72,373.47,0.49,0.48,0.00,0.30
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,29,4040,1.12,11240,3.12,100,0.0,0.0,0.0,3.34,2.46,4.68,3.51,572.92,214.37,397.06,372.52,0.48,0.48,0.00,0.30
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,30,4120,1.14,11320,3.14,80,0.0,0.0,0.0,3.34,2.45,4.67,3.50,574.43,215.16,392.92,371.64,0.48,0.49,0.00,0.30
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,31,4200,1.17,11400,3.17,80,0.0,0.0,0.0,3.34,2.44,4.66,3.50,575.97,216.04,388.58,370.72,0.47,0.50,0.00,0.31
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,32,4280,1.19,11480,3.19,80,0.0,0.0,0.0,3.34,2.44,4.65,3.49,577.69,217.00,384.09,369.83,0.41,0.51,0.00,0.29
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,33,4360,1.21,11560,3.21,80,0.0,0.0,0.0,3.35,2.44,4.64,3.49,579.27,217.89,379.78,368.94,0.41,0.51,0.00,0.29
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,34,4440,1.23,11640,3.23,80,0.0,0.0,0.0,3.35,2.44,4.63,3.49,580.79,218.76,375.59,368.08,0.41,0.52,0.00,0.30
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,35,4520,1.26,11720,3.26,80,0.0,0.0,0.0,3.35,2.44,4.62,3.49,582.28,219.62,371.49,367.23,0.40,0.53,0.00,0.30
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,36,4600,1.28,11800,3.28,80,0.0,0.0,0.0,3.35,2.45,4.61,3.48,583.75,220.47,367.45,366.41,0.40,0.54,0.00,0.30
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,37,4680,1.30,11880,3.30,80,0.0,0.0,0.0,3.35,2.45,4.60,3.48,584.94,221.19,363.73,365.58,0.40,0.54,0.00,0.30
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,38,4740,1.32,11940,3.32,60,0.0,0.0,0.0,3.35,2.45,4.59,3.48,586.27,221.85,360.24,364.85,0.40,0.55,0.00,0.31
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,39,4800,1.33,12000,3.33,60,0.0,0.0,0.0,3.36,2.45,4.59,3.48,587.26,222.44,356.88,364.06,0.40,0.56,0.00,0.31
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,40,4860,1.35,12060,3.35,60,0.0,0.0,0.0,3.36,2.45,4.58,3.48,588.47,223.15,353.39,363.32,0.40,0.57,0.00,0.31
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,41,4920,1.37,12120,3.37,60,0.0,0.0,0.0,3.36,2.45,4.57,3.47,589.49,223.78,350.08,362.57,0.40,0.58,0.00,0.32
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,42,4980,1.38,12180,3.38,60,0.0,0.0,0.0,3.36,2.45,4.57,3.47,590.44,224.37,346.90,361.84,0.40,0.58,0.00,0.32
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,43,5040,1.40,12240,3.40,60,0.0,0.0,0.0,3.36,2.45,4.56,3.47,591.36,224.92,343.82,361.12,0.40,0.59,0.00,0.32
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,44,5100,1.42,12300,3.42,60,0.0,0.0,0.0,3.36,2.45,4.56,3.47,592.25,225.38,340.82,360.39,0.40,0.51,0.00,0.29
9.322176,5.302421,1.041400,0.227341,-0.835654,0.499999,45,5160,1.43,12360,3.43,60,0.0,0.0,0.0,3.36,2.45,4.55,3.47,593.39,225.99,337.61,359.70,0.40,0.52,0.00,0.29
