X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,0,14100,3.92,21300,5.92,60,5.9,7.2,0.0,3.74,2.86,4.40,3.66,781.31,401.17,232.28,432.87,0.11,0.34,0.00,0.16
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,1,13100,3.64,20300,5.64,-1000,0.0,0.0,0.0,3.72,2.83,4.42,3.65,764.07,383.24,237.45,423.78,0.11,0.34,0.00,0.16
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,2,12220,3.39,19420,5.39,-880,0.0,0.0,0.0,3.69,2.81,4.43,3.64,747.07,365.74,242.46,414.84,0.11,0.35,0.00,0.16
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,3,11440,3.18,18640,5.18,-780,0.0,0.0,0.0,3.67,2.78,4.44,3.63,732.68,351.28,248.13,407.95,0.11,0.30,0.00,0.14
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,4,10780,2.99,17980,4.99,-660,0.0,0.0,0.0,3.65,2.76,4.45,3.62,720.36,339.21,254.16,402.60,0.11,0.30,0.00,0.14
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,5,10200,2.83,17400,4.83,-580,0.0,0.0,0.0,3.63,2.75,4.47,3.61,709.47,328.78,260.42,398.32,0.11,0.30,0.00,0.14
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,6,9700,2.69,16900,4.69,-500,0.0,0.0,0.0,3.62,2.73,4.48,3.61,700.01,320.01,266.42,394.91,0.11,0.30,0.00,0.14
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,7,9260,2.57,16460,4.57,-440,0.0,0.0,0.0,3.61,2.72,4.49,3.61,691.88,312.59,272.09,392.22,0.11,0.30,0.00,0.14
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,8,8880,2.47,16080,4.47,-380,0.0,0.0,0.0,3.60,2.71,4.50,3.60,684.87,306.37,277.18,390.05,0.11,0.30,0.00,0.14
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,9,8580,2.38,15780,4.38,-300,0.0,0.0,0.0,3.59,2.70,4.51,3.60,678.95,301.13,281.76,388.32,0.11,0.31,0.00,0.14
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,10,8320,2.31,15520,4.31,-260,0.0,0.0,0.0,3.58,2.70,4.51,3.60,673.93,296.80,285.64,386.90,0.11,0.31,0.00,0.14
