X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,0,14020,3.89,21220,5.89,-20,5.9,7.2,0.0,2.71,3.09,4.41,3.49,285.48,319.98,233.31,278.85,0.13,0.29,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,1,12840,3.57,20040,5.57,-1180,0.0,0.0,0.0,2.83,3.12,4.43,3.54,336.36,329.26,241.16,298.00,0.13,0.29,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,2,11820,3.28,19020,5.28,-1020,0.0,0.0,0.0,2.81,3.10,4.45,3.53,323.09,313.09,249.00,291.56,0.13,0.30,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,3,10960,3.04,18160,5.04,-860,0.0,0.0,0.0,2.79,3.08,4.47,3.53,311.33,299.52,257.36,286.66,0.13,0.25,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,4,10220,2.84,17420,4.84,-740,0.0,0.0,0.0,2.78,3.07,4.48,3.53,301.22,288.24,265.71,283.03,0.13,0.25,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,5,9620,2.67,16820,4.67,-600,0.0,0.0,0.0,2.77,3.05,4.50,3.52,292.42,278.64,273.88,280.30,0.13,0.25,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,6,9120,2.53,16320,4.53,-500,0.0,0.0,0.0,2.76,3.04,4.51,3.52,285.04,270.79,281.22,278.26,0.13,0.26,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,7,8700,2.42,15900,4.42,-420,0.0,0.0,0.0,2.75,3.03,4.53,3.52,278.97,264.36,287.74,276.78,0.13,0.26,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,8,8360,2.32,15560,4.32,-340,0.0,0.0,0.0,2.75,3.03,4.54,3.52,273.96,259.17,293.21,275.63,0.13,0.26,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,9,8100,2.25,15300,4.25,-260,0.0,0.0,0.0,2.74,3.02,4.55,3.52,269.95,254.98,297.86,274.80,0.13,0.26,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,10,7880,2.19,15080,4.19,-220,0.0,0.0,0.0,2.74,3.01,4.55,3.52,266.72,251.66,301.51,274.12,0.13,0.26,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,11,7720,2.14,14920,4.14,-160,0.0,0.0,0.0,2.74,3.01,4.56,3.53,268.70,250.98,304.51,275.48,0.13,0.26,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,12,7580,2.11,14780,4.11,-140,0.0,0.0,0.0,2.74,3.01,4.56,3.53,266.76,248.97,306.69,275.06,0.13,0.26,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,13,7480,2.08,14680,4.08,-100,0.0,0.0,0.0,2.74,3.01,4.57,3.52,265.10,247.19,308.63,274.71,0.13,0.27,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,14,7380,2.05,14580,4.05,-100,0.0,0.0,0.0,2.74,3.00,4.57,3.52,263.86,245.89,309.92,274.39,0.13,0.27,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,15,7320,2.03,14520,4.03,-60,0.0,0.0,0.0,2.74,3.00,4.57,3.52,262.99,244.89,310.89,274.17,0.13,0.27,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,16,7280,2.02,14480,4.02,-40,0.0,0.0,0.0,2.74,3.00,4.57,3.52,262.34,244.19,311.37,273.92,0.13,0.27,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,17,7240,2.01,14440,4.01,-40,0.0,0.0,0.0,2.74,3.00,4.57,3.52,261.95,243.75,311.50,273.71,0.13,0.27,0.00,0.13
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,18,7220,2.01,14420,4.01,-20,0.0,0.0,0.0,2.74,3.00,4.57,3.52,261.76,243.43,311.54,273.55,0.13,0.27,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,19,7200,2.00,14400,4.00,-20,0.0,0.0,0.0,2.74,3.00,4.57,3.52,261.66,243.27,311.26,273.37,0.13,0.27,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,20,7200,2.00,14400,4.00,0,0.0,0.0,0.0,2.74,3.00,4.57,3.52,261.70,243.19,310.98,273.24,0.13,0.28,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,21,7200,2.00,14400,4.00,0,0.0,0.0,0.0,2.74,3.00,4.57,3.52,261.56,243.03,310.67,273.03,0.13,0.28,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,22,7200,2.00,14400,4.00,0,0.0,0.0,0.0,2.74,3.00,4.57,3.52,261.63,242.96,310.35,272.90,0.13,0.28,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,23,7200,2.00,14400,4.00,0,0.0,0.0,0.0,2.73,2.99,4.57,3.52,261.21,242.30,309.81,272.34,0.13,0.29,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,24,7180,1.99,14380,3.99,-20,0.0,0.0,0.0,2.74,2.99,4.57,3.52,270.97,245.88,309.48,276.00,0.14,0.29,0.00,0.14
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,25,7160,1.99,14360,3.99,-20,0.0,0.0,0.0,2.70,2.98,4.57,3.51,269.94,244.59,309.67,275.33,0.14,0.30,0.00,0.15
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,26,7120,1.98,14320,3.98,-40,0.0,0.0,0.0,2.69,2.96,4.56,3.49,270.50,244.65,308.33,274.99,0.15,0.31,0.00,0.15
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,27,7120,1.98,14320,3.98,0,0.0,0.0,0.0,2.68,2.93,4.56,3.48,270.95,244.75,306.73,274.54,0.15,0.31,0.00,0.16
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,28,7140,1.98,14340,3.98,20,0.0,0.0,0.0,2.68,2.91,4.55,3.47,271.54,244.99,304.93,274.10,0.15,0.32,0.00,0.16
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,29,7160,1.99,14360,3.99,20,0.0,0.0,0.0,2.68,2.90,4.54,3.46,271.99,245.14,303.20,273.63,0.15,0.33,0.00,0.16
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,30,7200,2.00,14400,4.00,40,0.0,0.0,0.0,2.68,2.89,4.53,3.45,272.18,244.97,301.96,273.14,0.15,0.34,0.00,0.16
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,31,7200,2.00,14400,4.00,0,0.0,0.0,0.0,2.68,2.88,4.52,3.45,272.37,244.88,300.59,272.64,0.15,0.34,0.00,0.17
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,32,7220,2.01,14420,4.01,20,0.0,0.0,0.0,2.68,2.87,4.52,3.44,272.64,244.83,299.17,272.16,0.12,0.35,0.00,0.16
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,33,7220,2.01,14420,4.01,0,0.0,0.0,0.0,2.69,2.86,4.51,3.44,272.74,244.63,297.93,271.64,0.12,0.36,0.00,0.16
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,34,7220,2.01,14420,4.01,0,0.0,0.0,0.0,2.68,2.86,4.51,3.43,272.76,244.36,296.80,271.12,0.12,0.36,0.00,0.17
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,35,7240,2.01,14440,4.01,20,0.0,0.0,0.0,2.68,2.86,4.50,3.43,272.74,244.05,295.74,270.61,0.12,0.37,0.00,0.17
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,36,7240,2.01,14440,4.01,0,0.0,0.0,0.0,2.68,2.86,4.50,3.43,272.70,243.73,294.71,270.09,0.12,0.38,0.00,0.17
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,37,7240,2.01,14440,4.01,0,0.0,0.0,0.0,2.68,2.86,4.50,3.43,272.44,243.23,293.91,269.54,0.12,0.38,0.00,0.18
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,38,7220,2.01,14420,4.01,-20,0.0,0.0,0.0,2.68,2.85,4.49,3.43,272.32,242.71,293.25,269.07,0.13,0.39,0.00,0.18
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,39,7220,2.01,14420,4.01,0,0.0,0.0,0.0,2.68,2.85,4.49,3.42,271.93,242.10,292.63,268.51,0.13,0.40,0.00,0.18
