X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,0,14020,3.89,21220,5.89,-20,5.9,7.2,0.0,2.72,3.14,4.41,3.51,286.25,324.93,236.50,282.10,0.13,0.20,0.00,0.11
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,1,13120,3.64,20320,5.64,-900,0.0,0.0,0.0,2.84,3.18,4.43,3.56,339.79,338.14,243.65,303.12,0.13,0.20,0.00,0.11
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,2,12300,3.42,19500,5.42,-820,0.0,0.0,0.0,2.82,3.16,4.44,3.56,329.54,325.52,249.38,297.97,0.13,0.20,0.00,0.11
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,3,11600,3.22,18800,5.22,-700,0.0,0.0,0.0,2.81,3.15,4.46,3.55,320.19,314.71,255.40,293.84,0.13,0.17,0.00,0.09
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,4,11020,3.06,18220,5.06,-580,0.0,0.0,0.0,2.80,3.14,4.47,3.55,312.04,305.57,261.38,290.62,0.13,0.17,0.00,0.10
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,5,10520,2.92,17720,4.92,-500,0.0,0.0,0.0,2.79,3.12,4.48,3.55,304.74,297.55,267.36,288.03,0.13,0.17,0.00,0.10
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,6,10080,2.80,17280,4.80,-440,0.0,0.0,0.0,2.78,3.11,4.49,3.55,298.44,290.83,272.91,286.01,0.13,0.17,0.00,0.10
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,7,9700,2.69,16900,4.69,-380,0.0,0.0,0.0,2.77,3.10,4.50,3.55,293.08,285.14,278.01,284.45,0.13,0.17,0.00,0.10
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,8,9400,2.61,16600,4.61,-300,0.0,0.0,0.0,2.77,3.10,4.51,3.55,288.48,280.39,282.49,283.20,0.13,0.17,0.00,0.10
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,9,9140,2.54,16340,4.54,-260,0.0,0.0,0.0,2.76,3.09,4.52,3.54,284.62,276.37,286.47,282.22,0.13,0.18,0.00,0.10
