X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
11.929636,10.283970,1.041400,0.220778,0.837409,0.500003,0,14020,3.89,21220,5.89,-20,5.6,7.2,0.0,2.68,3.02,4.41,3.46,272.65,294.92,229.87,264.96,0.27,0.79,0.00,0.36
11.929636,10.283970,1.041400,0.220778,0.837409,0.500003,1,11680,3.24,18880,5.24,-2340,0.0,0.0,0.0,2.78,3.04,4.45,3.50,310.71,288.88,247.14,278.68,0.27,0.79,0.00,0.36
11.929636,10.283970,1.041400,0.220778,0.837409,0.500003,2,9860,2.74,17060,4.74,-1820,0.0,0.0,0.0,2.74,3.00,4.50,3.50,286.37,261.07,268.36,270.13,0.27,0.79,0.00,0.37
11.929636,10.283970,1.041400,0.220778,0.837409,0.500003,3,8500,2.36,15700,4.36,-1360,0.0,0.0,0.0,2.73,2.98,4.54,3.50,271.74,242.15,289.27,267.22,0.27,0.69,0.00,0.32
11.929636,10.283970,1.041400,0.220778,0.837409,0.500003,4,7480,2.08,14680,4.08,-1020,0.0,0.0,0.0,2.73,2.97,4.57,3.51,268.22,231.60,307.45,269.20,0.27,0.69,0.00,0.33
11.929636,10.283970,1.041400,0.220778,0.837409,0.500003,5,6760,1.88,13960,3.88,-720,0.0,0.0,0.0,2.72,2.95,4.60,3.51,258.28,220.68,322.29,268.19,0.27,0.69,0.00,0.33
11.929636,10.283970,1.041400,0.220778,0.837409,0.500003,6,6240,1.73,13440,3.73,-520,0.0,0.0,0.0,2.71,2.95,4.62,3.52,251.43,213.07,333.16,267.69,0.27,0.69,0.00,0.33
11.929636,10.283970,1.041400,0.220778,0.837409,0.500003,7,5880,1.63,13080,3.63,-360,0.0,0.0,0.0,2.71,2.94,4.64,3.52,246.83,207.85,340.87,267.48,0.27,0.70,0.00,0.33
11.929636,10.283970,1.041400,0.220778,0.837409,0.500003,8,5620,1.56,12820,3.56,-260,0.0,0.0,0.0,2.71,2.93,4.64,3.52,243.77,204.34,345.86,267.27,0.27,0.70,0.00,0.33
11.929636,10.283970,1.041400,0.220778,0.837409,0.500003,9,5480,1.52,12680,3.52,-140,0.0,0.0,0.0,2.71,2.93,4.65,3.52,241.86,202.05,349.09,267.15,0.27,0.70,0.00,0.33
11.929636,10.283970,1.041400,0.220778,0.837409,0.500003,10,5360,1.49,12560,3.49,-120,0.0,0.0,0.0,2.71,2.93,4.65,3.52,240.68,200.60,350.79,266.94,0.27,0.71,0.00,0.33
11.929636,10.283970,1.041400,0.220778,0.837409,0.500003,11,5300,1.47,12500,3.47,-60,0.0,0.0,0.0,2.71,2.93,4.66,3.52,240.07,199.74,351.68,266.80,0.26,0.71,0.00,0.33
11.929636,10.283970,1.041400,0.220778,0.837409,0.500003,12,5280,1.47,12480,3.47,-20,0.0,0.0,0.0,2.71,2.93,4.66,3.52,239.77,199.28,351.73,266.57,0.26,0.71,0.00,0.33
