X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,0,14100,3.92,21300,5.92,60,24.7,7.2,88.9,3.59,2.64,2.78,2.93,743.98,352.38,103.27,356.86,0.46,0.62,0.44,0.51
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,1,15100,4.19,22300,6.19,1000,32.2,19.2,88.6,3.64,2.68,2.77,2.95,774.48,378.83,102.68,374.18,0.46,0.62,0.44,0.51
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,2,15780,4.38,22980,6.38,680,30.4,18.3,88.3,3.67,2.71,2.77,2.97,790.34,394.35,103.09,384.13,0.46,0.62,0.44,0.51
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,3,16200,4.50,23400,6.50,420,29.4,17.8,88.1,3.69,2.72,2.77,2.98,800.66,404.42,103.50,390.63,0.46,0.58,0.44,0.50
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,4,16460,4.57,23660,6.57,260,28.8,17.5,88.0,3.70,2.73,2.77,2.99,807.19,410.75,103.86,394.78,0.46,0.58,0.44,0.50
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,5,16620,4.62,23820,6.62,160,28.4,17.3,87.9,3.71,2.74,2.77,2.99,811.10,414.50,104.16,397.27,0.46,0.58,0.44,0.50
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,6,16700,4.64,23900,6.64,80,28.1,17.2,87.9,3.71,2.74,2.77,2.99,813.40,416.70,104.35,398.74,0.46,0.58,0.44,0.50
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,7,16740,4.65,23940,6.65,40,28.0,17.1,87.8,3.71,2.75,2.77,2.99,814.78,418.00,104.48,399.62,0.46,0.59,0.44,0.50
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,8,16780,4.66,23980,6.66,40,28.0,17.1,87.8,3.71,2.75,2.77,3.00,815.58,418.75,104.54,400.13,0.46,0.59,0.44,0.50
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,9,16780,4.66,23980,6.66,0,27.9,17.1,87.8,3.71,2.75,2.77,3.00,816.05,419.17,104.58,400.42,0.46,0.59,0.44,0.50
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,10,16800,4.67,24000,6.67,20,27.9,17.1,87.8,3.71,2.75,2.77,3.00,816.31,419.41,104.58,400.58,0.46,0.59,0.44,0.50
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,11,16800,4.67,24000,6.67,0,27.9,17.1,87.8,3.71,2.75,2.77,3.00,816.46,419.52,104.58,400.65,0.46,0.59,0.44,0.50
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,12,16800,4.67,24000,6.67,0,27.9,17.1,87.8,3.71,2.75,2.77,3.00,816.53,419.57,104.56,400.68,0.46,0.59,0.44,0.50
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,13,16800,4.67,24000,6.67,0,27.9,17.1,87.8,3.71,2.75,2.77,3.00,816.47,419.46,104.53,400.61,0.46,0.59,0.44,0.50
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,14,16800,4.67,24000,6.67,0,27.9,17.1,87.8,3.71,2.75,2.77,3.00,816.34,419.33,104.49,400.52,0.46,0.60,0.44,0.50
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,15,16800,4.67,24000,6.67,0,27.9,17.1,87.8,3.71,2.75,2.77,3.00,816.27,419.23,104.46,400.45,0.46,0.60,0.44,0.50
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,16,16780,4.66,23980,6.66,-20,27.9,17.1,87.8,3.71,2.75,2.77,3.00,816.20,419.15,104.42,400.39,0.46,0.60,0.44,0.50
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,17,16780,4.66,23980,6.66,0,27.9,17.1,87.8,3.71,2.75,2.77,3.00,816.16,419.10,104.39,400.35,0.46,0.60,0.44,0.50
