X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,0,14100,3.92,21300,5.92,60,23.6,7.2,88.3,3.60,2.65,2.78,2.94,750.83,363.07,108.37,364.50,0.35,0.43,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,1,15420,4.28,22620,6.28,1320,30.3,18.6,87.9,3.66,2.71,2.77,2.97,788.28,396.93,108.16,386.48,0.35,0.44,0.41,0.41
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,2,16340,4.54,23540,6.54,920,27.9,17.5,87.4,3.70,2.74,2.77,2.99,810.52,418.90,109.65,400.84,0.35,0.44,0.41,0.41
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,3,16900,4.69,24100,6.69,560,26.5,16.8,87.0,3.73,2.77,2.77,3.01,825.95,434.00,112.46,411.41,0.35,0.42,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,4,17240,4.79,24440,6.79,340,26.5,17.3,86.9,3.75,2.79,2.78,3.02,836.24,443.95,115.60,418.89,0.35,0.42,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,5,17460,4.85,24660,6.85,220,26.4,17.6,86.8,3.76,2.80,2.78,3.03,842.81,450.22,118.14,423.84,0.35,0.42,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,6,17580,4.88,24780,6.88,120,26.4,17.7,86.8,3.77,2.80,2.78,3.04,846.86,454.10,119.93,426.98,0.35,0.42,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,7,17660,4.91,24860,6.91,80,26.3,17.8,86.7,3.77,2.81,2.79,3.04,849.39,456.49,121.11,428.95,0.35,0.42,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,8,17700,4.92,24900,6.92,40,26.3,17.9,86.7,3.78,2.81,2.79,3.04,850.93,457.96,121.86,430.16,0.35,0.42,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,9,17720,4.92,24920,6.92,20,26.3,17.9,86.7,3.78,2.81,2.79,3.04,851.89,458.86,122.32,430.91,0.35,0.42,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,10,17740,4.93,24940,6.93,20,26.3,17.9,86.7,3.78,2.81,2.79,3.05,852.47,459.41,122.60,431.37,0.35,0.42,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,11,17760,4.93,24960,6.93,20,26.3,17.9,86.7,3.78,2.81,2.79,3.05,852.84,459.74,122.77,431.65,0.35,0.42,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,12,17760,4.93,24960,6.93,0,26.3,17.9,86.7,3.78,2.82,2.79,3.05,853.06,459.95,122.86,431.82,0.35,0.42,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,13,17760,4.93,24960,6.93,0,26.3,17.9,86.7,3.78,2.82,2.79,3.05,853.15,460.00,122.88,431.87,0.34,0.42,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,14,17760,4.93,24960,6.93,0,26.3,17.9,86.7,3.78,2.82,2.79,3.05,853.14,460.00,122.86,431.86,0.34,0.43,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,15,17760,4.93,24960,6.93,0,26.3,17.9,86.7,3.78,2.82,2.79,3.05,853.15,460.00,122.85,431.86,0.34,0.43,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,16,17760,4.93,24960,6.93,0,26.3,17.9,86.7,3.78,2.82,2.79,3.05,853.15,460.00,122.83,431.85,0.34,0.43,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,17,17760,4.93,24960,6.93,0,26.3,17.9,86.7,3.78,2.82,2.79,3.05,853.17,460.02,122.82,431.86,0.34,0.43,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,18,17760,4.93,24960,6.93,0,26.3,17.9,86.7,3.78,2.82,2.79,3.05,853.21,460.04,122.82,431.87,0.34,0.43,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,19,17760,4.93,24960,6.93,0,26.3,17.9,86.7,3.78,2.82,2.79,3.05,853.22,460.05,122.81,431.88,0.34,0.43,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,20,17760,4.93,24960,6.93,0,26.3,17.9,86.7,3.78,2.82,2.79,3.05,853.25,460.06,122.80,431.89,0.34,0.43,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,21,17760,4.93,24960,6.93,0,26.3,17.9,86.7,3.78,2.82,2.79,3.05,853.20,460.00,122.76,431.83,0.34,0.43,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,22,17760,4.93,24960,6.93,0,26.3,17.9,86.7,3.78,2.82,2.79,3.05,853.13,459.93,122.70,431.77,0.34,0.43,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,23,17760,4.93,24960,6.93,0,26.4,17.9,86.7,3.78,2.81,2.79,3.05,852.80,459.51,122.41,431.42,0.35,0.44,0.41,0.40
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,24,17740,4.93,24940,6.93,-20,26.4,17.9,86.7,3.78,2.81,2.79,3.04,851.96,458.62,121.86,430.67,0.35,0.44,0.41,0.41
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,25,17720,4.92,24920,6.92,-20,26.4,17.9,86.8,3.78,2.81,2.79,3.04,850.76,457.36,121.14,429.63,0.35,0.44,0.41,0.41
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,26,17680,4.91,24880,6.91,-40,26.4,17.9,86.8,3.77,2.81,2.78,3.04,849.81,456.48,120.58,428.85,0.35,0.45,0.41,0.41
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,27,17660,4.91,24860,6.91,-20,26.5,17.8,86.8,3.77,2.81,2.78,3.04,849.25,455.91,120.20,428.36,0.35,0.45,0.41,0.41
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,28,17640,4.90,24840,6.90,-20,26.5,17.8,86.8,3.77,2.81,2.78,3.04,848.73,455.38,119.85,427.89,0.35,0.45,0.41,0.41
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,29,17640,4.90,24840,6.90,0,26.5,17.8,86.8,3.77,2.81,2.78,3.04,848.18,454.80,119.48,427.40,0.35,0.46,0.41,0.41
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,30,17620,4.89,24820,6.89,-20,26.5,17.8,86.8,3.77,2.81,2.78,3.04,847.49,454.06,119.05,426.79,0.35,0.46,0.41,0.42
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,31,17600,4.89,24800,6.89,-20,26.5,17.7,86.8,3.77,2.80,2.78,3.04,846.73,453.28,118.59,426.13,0.35,0.47,0.41,0.42
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,32,17580,4.88,24780,6.88,-20,26.6,17.7,86.8,3.77,2.80,2.78,3.04,846.02,452.55,118.16,425.52,0.34,0.47,0.41,0.42
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,33,17560,4.88,24760,6.88,-20,26.6,17.7,86.8,3.77,2.80,2.78,3.03,845.30,451.79,117.74,424.90,0.34,0.47,0.41,0.42
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,34,17540,4.87,24740,6.87,-20,26.6,17.7,86.9,3.76,2.80,2.78,3.03,844.52,450.98,117.29,424.23,0.34,0.48,0.41,0.42
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,35,17520,4.87,24720,6.87,-20,26.6,17.6,86.9,3.76,2.80,2.78,3.03,843.73,450.16,116.85,423.56,0.34,0.48,0.41,0.42
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,36,17500,4.86,24700,6.86,-20,26.6,17.6,86.9,3.76,2.80,2.78,3.03,842.95,449.35,116.42,422.90,0.34,0.49,0.41,0.42
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,37,17480,4.86,24680,6.86,-20,26.7,17.6,86.9,3.76,2.80,2.78,3.03,842.12,448.48,115.98,422.20,0.34,0.49,0.41,0.42
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,38,17440,4.84,24640,6.84,-40,26.7,17.6,86.9,3.76,2.79,2.78,3.03,841.28,447.60,115.55,421.50,0.34,0.49,0.41,0.43
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,39,17420,4.84,24620,6.84,-20,26.7,17.5,86.9,3.76,2.79,2.78,3.03,840.42,446.70,115.12,420.79,0.34,0.50,0.41,0.43
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,40,17400,4.83,24600,6.83,-20,26.8,17.5,86.9,3.76,2.79,2.78,3.03,839.59,445.86,114.71,420.11,0.34,0.50,0.41,0.43
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,41,17380,4.83,24580,6.83,-20,26.8,17.5,87.0,3.75,2.79,2.78,3.03,838.79,445.03,114.32,419.45,0.34,0.50,0.41,0.43
5.074425,14.436260,1.041400,0.630418,-0.593778,0.500001,42,17360,4.82,24560,6.82,-20,26.8,17.5,87.0,3.75,2.79,2.78,3.02,837.96,444.17,113.93,418.78,0.34,0.51,0.41,0.43
