X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,0,14100,3.92,21300,5.92,60,26.0,7.2,87.6,3.58,2.61,2.80,2.93,737.18,338.43,119.92,356.18,1.52,1.54,0.37,1.10
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,1,14040,3.90,21240,5.90,-60,35.5,20.0,87.7,3.59,2.62,2.80,2.93,744.94,343.21,119.48,359.74,1.52,1.54,0.37,1.10
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,2,14100,3.92,21300,5.92,60,35.4,19.9,87.7,3.59,2.63,2.80,2.93,745.96,344.06,119.23,360.22,1.53,1.55,0.37,1.10
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,3,14120,3.92,21320,5.92,20,35.3,19.9,87.6,3.59,2.63,2.80,2.93,746.53,344.51,119.01,360.45,1.53,1.33,0.37,1.02
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,4,14140,3.93,21340,5.93,20,35.3,19.9,87.6,3.59,2.63,2.80,2.93,746.86,344.72,118.82,360.54,1.53,1.33,0.37,1.02
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,5,14140,3.93,21340,5.93,0,35.3,19.9,87.6,3.59,2.63,2.80,2.93,746.97,344.75,118.67,360.52,1.53,1.34,0.37,1.03
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,6,14140,3.93,21340,5.93,0,35.3,19.9,87.6,3.59,2.63,2.80,2.93,747.01,344.70,118.51,360.45,1.53,1.35,0.37,1.03
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,7,14140,3.93,21340,5.93,0,35.3,19.9,87.6,3.59,2.63,2.80,2.93,747.01,344.61,118.37,360.37,1.53,1.35,0.37,1.03
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,8,14140,3.93,21340,5.93,0,35.3,19.9,87.6,3.59,2.63,2.80,2.93,746.98,344.50,118.22,360.27,1.54,1.36,0.37,1.03
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,9,14140,3.93,21340,5.93,0,35.3,19.9,87.6,3.59,2.63,2.80,2.93,746.95,344.39,118.10,360.17,1.54,1.37,0.37,1.04
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,10,14120,3.92,21320,5.92,-20,35.3,19.9,87.6,3.59,2.63,2.80,2.93,746.91,344.27,117.96,360.06,1.54,1.37,0.37,1.04
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,11,14120,3.92,21320,5.92,0,35.4,19.9,87.6,3.59,2.63,2.80,2.93,746.87,344.16,117.84,359.97,1.54,1.38,0.37,1.04
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,12,14120,3.92,21320,5.92,0,35.4,19.9,87.6,3.59,2.63,2.80,2.93,746.82,344.04,117.71,359.86,1.54,1.39,0.37,1.04
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,13,14120,3.92,21320,5.92,0,35.4,19.9,87.6,3.59,2.63,2.80,2.93,746.73,343.88,117.60,359.74,1.54,1.39,0.37,1.05
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,14,14100,3.92,21300,5.92,-20,35.4,19.9,87.7,3.59,2.63,2.80,2.93,746.64,343.73,117.48,359.62,1.55,1.40,0.37,1.05
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,15,14100,3.92,21300,5.92,0,35.4,19.9,87.7,3.59,2.62,2.80,2.93,746.58,343.60,117.38,359.51,1.55,1.41,0.37,1.05
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,16,14100,3.92,21300,5.92,0,35.4,19.9,87.7,3.59,2.62,2.80,2.93,746.53,343.49,117.26,359.41,1.55,1.41,0.37,1.06
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,17,14100,3.92,21300,5.92,0,35.4,19.9,87.7,3.59,2.62,2.80,2.93,746.50,343.39,117.15,359.33,1.55,1.42,0.37,1.06
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,18,14100,3.92,21300,5.92,0,35.5,19.9,87.7,3.59,2.62,2.80,2.93,746.47,343.29,117.05,359.25,1.55,1.43,0.37,1.06
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,19,14080,3.91,21280,5.91,-20,35.5,19.9,87.7,3.59,2.62,2.80,2.93,746.45,343.20,116.94,359.17,1.55,1.43,0.37,1.07
11.922948,4.502135,1.041400,0.227343,-0.835652,0.500001,20,14080,3.91,21280,5.91,0,35.5,19.9,87.7,3.59,2.62,2.80,2.93,746.43,343.12,116.85,359.09,1.55,1.44,0.37,1.07
