X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
6.716470,8.732871,1.041400,0.220778,0.837412,0.499998,0,14100,3.92,21300,5.92,60,24.4,7.2,89.2,3.59,2.64,2.77,2.93,745.44,355.76,98.84,356.83,0.40,0.52,0.46,0.47
6.716470,8.732871,1.041400,0.220778,0.837412,0.499998,1,15340,4.26,22540,6.26,1240,31.3,19.0,88.8,3.65,2.69,2.76,2.96,782.11,388.27,98.79,378.18,0.40,0.52,0.46,0.47
6.716470,8.732871,1.041400,0.220778,0.837412,0.499998,2,16200,4.50,23400,6.50,860,29.2,17.9,88.4,3.69,2.73,2.76,2.98,802.51,408.34,99.63,391.12,0.40,0.52,0.46,0.47
6.716470,8.732871,1.041400,0.220778,0.837412,0.499998,3,16720,4.64,23920,6.64,520,27.9,17.3,88.0,3.71,2.75,2.76,2.99,816.12,421.62,100.88,399.97,0.40,0.49,0.46,0.46
6.716470,8.732871,1.041400,0.220778,0.837412,0.499998,4,17020,4.73,24220,6.73,300,27.4,17.3,87.9,3.73,2.77,2.76,3.00,824.88,430.09,102.44,405.92,0.40,0.49,0.46,0.46
6.716470,8.732871,1.041400,0.220778,0.837412,0.499998,5,17200,4.78,24400,6.78,180,27.4,17.5,87.8,3.74,2.77,2.76,3.01,830.29,435.25,103.79,409.71,0.40,0.49,0.46,0.46
6.716470,8.732871,1.041400,0.220778,0.837412,0.499998,6,17300,4.81,24500,6.81,100,27.3,17.6,87.8,3.75,2.78,2.76,3.01,833.52,438.33,104.74,412.03,0.40,0.49,0.46,0.46
6.716470,8.732871,1.041400,0.220778,0.837412,0.499998,7,17380,4.83,24580,6.83,80,27.3,17.7,87.8,3.75,2.78,2.76,3.02,835.46,440.17,105.35,413.43,0.40,0.50,0.46,0.46
6.716470,8.732871,1.041400,0.220778,0.837412,0.499998,8,17400,4.83,24600,6.83,20,27.3,17.7,87.8,3.75,2.78,2.76,3.02,836.60,441.24,105.72,414.26,0.40,0.50,0.46,0.46
6.716470,8.732871,1.041400,0.220778,0.837412,0.499998,9,17420,4.84,24620,6.84,20,27.3,17.8,87.8,3.75,2.79,2.76,3.02,837.27,441.86,105.94,414.74,0.40,0.50,0.46,0.46
