X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
5.047031,0.353925,1.041400,0.630651,0.593529,0.500002,0,14020,3.89,21220,5.89,-20,24.5,7.2,88.8,2.58,2.87,2.77,2.76,254.75,278.63,101.41,206.20,0.38,0.46,0.43,0.43
5.047031,0.353925,1.041400,0.630651,0.593529,0.500002,1,15120,4.20,22320,6.20,1100,31.8,19.1,88.5,2.83,2.98,2.76,2.86,380.68,341.50,96.85,259.55,0.38,0.46,0.43,0.43
5.047031,0.353925,1.041400,0.630651,0.593529,0.500002,2,15880,4.41,23080,6.41,760,29.8,18.2,88.1,2.84,3.00,2.76,2.87,389.91,352.45,98.69,266.65,0.38,0.46,0.43,0.43
5.047031,0.353925,1.041400,0.630651,0.593529,0.500002,3,16340,4.54,23540,6.54,460,28.6,17.6,87.9,2.85,3.01,2.76,2.87,396.65,359.57,100.22,271.58,0.38,0.44,0.43,0.42
5.047031,0.353925,1.041400,0.630651,0.593529,0.500002,4,16620,4.62,23820,6.62,280,27.9,17.2,87.7,2.86,3.01,2.76,2.88,400.88,363.95,101.29,274.69,0.38,0.44,0.43,0.42
5.047031,0.353925,1.041400,0.630651,0.593529,0.500002,5,16800,4.67,24000,6.67,180,27.4,17.0,87.6,2.86,3.02,2.76,2.88,403.45,366.56,101.99,276.57,0.38,0.44,0.43,0.42
5.047031,0.353925,1.041400,0.630651,0.593529,0.500002,6,16900,4.69,24100,6.69,100,27.2,16.9,87.5,2.87,3.02,2.76,2.88,405.01,368.14,102.41,277.71,0.38,0.44,0.43,0.42
5.047031,0.353925,1.041400,0.630651,0.593529,0.500002,7,16960,4.71,24160,6.71,60,27.2,17.0,87.5,2.87,3.02,2.76,2.88,405.96,369.09,102.68,278.40,0.37,0.44,0.43,0.42
5.047031,0.353925,1.041400,0.630651,0.593529,0.500002,8,16980,4.72,24180,6.72,20,27.2,17.1,87.5,2.87,3.02,2.76,2.88,406.54,369.66,102.82,278.81,0.37,0.44,0.43,0.42
5.047031,0.353925,1.041400,0.630651,0.593529,0.500002,9,17020,4.73,24220,6.73,40,27.2,17.1,87.5,2.87,3.02,2.76,2.88,406.89,369.99,102.90,279.06,0.37,0.45,0.43,0.42
5.047031,0.353925,1.041400,0.630651,0.593529,0.500002,10,17020,4.73,24220,6.73,0,27.2,17.1,87.5,2.87,3.02,2.76,2.88,407.09,370.20,102.94,279.20,0.37,0.45,0.43,0.42
5.047031,0.353925,1.041400,0.630651,0.593529,0.500002,11,17040,4.73,24240,6.73,20,27.2,17.1,87.5,2.87,3.02,2.76,2.88,407.22,370.30,102.96,279.28,0.37,0.45,0.43,0.42
5.047031,0.353925,1.041400,0.630651,0.593529,0.500002,12,17040,4.73,24240,6.73,0,27.2,17.1,87.5,2.87,3.02,2.76,2.88,407.30,370.37,102.96,279.32,0.37,0.45,0.43,0.42
5.047031,0.353925,1.041400,0.630651,0.593529,0.500002,13,17040,4.73,24240,6.73,0,27.2,17.1,87.5,2.87,3.02,2.76,2.88,407.29,370.34,102.94,279.30,0.37,0.45,0.43,0.42
5.047031,0.353925,1.041400,0.630651,0.593529,0.500002,14,17040,4.73,24240,6.73,0,27.2,17.1,87.5,2.87,3.02,2.76,2.88,407.27,370.32,102.91,279.27,0.37,0.45,0.43,0.43
