X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,0,14020,3.89,21220,5.89,-20,25.0,7.2,88.5,2.57,2.86,2.78,2.76,253.07,274.10,107.87,206.51,0.42,0.59,0.42,0.48
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,1,14800,4.11,22000,6.11,780,32.9,19.3,88.3,2.82,2.97,2.77,2.86,373.60,332.30,102.25,256.36,0.42,0.59,0.42,0.48
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,2,15340,4.26,22540,6.26,540,31.5,18.7,88.1,2.82,2.98,2.77,2.86,379.42,339.91,102.75,260.85,0.42,0.59,0.42,0.48
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,3,15700,4.36,22900,6.36,360,30.6,18.3,87.9,2.83,2.99,2.77,2.87,384.05,344.99,103.27,264.11,0.42,0.55,0.42,0.47
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,4,15900,4.42,23100,6.42,200,30.1,18.0,87.9,2.84,2.99,2.77,2.87,386.94,348.13,103.67,266.16,0.42,0.55,0.42,0.47
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,5,16020,4.45,23220,6.45,120,29.7,17.8,87.8,2.84,2.99,2.77,2.87,388.63,349.94,103.93,267.36,0.42,0.55,0.42,0.47
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,6,16100,4.47,23300,6.47,80,29.6,17.8,87.8,2.84,3.00,2.77,2.87,389.66,351.04,104.07,268.08,0.42,0.55,0.42,0.47
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,7,16140,4.48,23340,6.48,40,29.5,17.7,87.7,2.84,3.00,2.77,2.87,390.29,351.70,104.15,268.52,0.42,0.55,0.42,0.47
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,8,16180,4.49,23380,6.49,40,29.4,17.7,87.7,2.84,3.00,2.77,2.87,390.67,352.09,104.17,268.77,0.42,0.56,0.42,0.47
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,9,16180,4.49,23380,6.49,0,29.3,17.6,87.7,2.84,3.00,2.77,2.87,390.92,352.32,104.18,268.92,0.42,0.56,0.42,0.47
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,10,16200,4.50,23400,6.50,20,29.3,17.6,87.7,2.84,3.00,2.76,2.87,391.05,352.46,104.15,268.99,0.42,0.56,0.42,0.47
