X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,0,14020,3.89,21220,5.89,-20,24.7,7.2,88.3,2.58,2.87,2.78,2.76,254.15,276.88,109.01,208.25,0.42,0.49,0.41,0.44
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,1,14880,4.13,22080,6.13,860,32.3,19.2,88.1,2.82,2.98,2.77,2.86,375.23,335.87,104.01,258.76,0.42,0.50,0.41,0.44
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,2,15500,4.31,22700,6.31,620,30.8,18.5,87.8,2.83,2.99,2.77,2.87,382.14,344.39,104.73,263.96,0.42,0.50,0.41,0.44
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,3,15880,4.41,23080,6.41,380,29.8,18.0,87.7,2.84,2.99,2.77,2.87,387.30,349.99,105.45,267.62,0.42,0.46,0.41,0.43
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,4,16100,4.47,23300,6.47,220,29.3,17.7,87.6,2.84,3.00,2.77,2.87,390.50,353.45,106.01,269.92,0.42,0.46,0.41,0.43
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,5,16240,4.51,23440,6.51,140,28.9,17.5,87.5,2.84,3.00,2.77,2.87,392.37,355.43,106.36,271.26,0.42,0.47,0.41,0.43
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,6,16320,4.53,23520,6.53,80,28.7,17.4,87.5,2.85,3.00,2.77,2.88,393.49,356.62,106.56,272.06,0.42,0.47,0.41,0.43
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,7,16360,4.54,23560,6.54,40,28.6,17.4,87.4,2.85,3.00,2.77,2.88,394.17,357.32,106.68,272.54,0.42,0.47,0.41,0.43
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,8,16400,4.56,23600,6.56,40,28.5,17.3,87.4,2.85,3.01,2.77,2.88,394.57,357.73,106.72,272.82,0.42,0.47,0.41,0.43
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,9,16420,4.56,23620,6.56,20,28.5,17.3,87.4,2.85,3.01,2.77,2.88,394.82,357.96,106.75,272.97,0.42,0.47,0.41,0.43
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,10,16420,4.56,23620,6.56,0,28.5,17.3,87.4,2.85,3.01,2.77,2.88,394.95,358.09,106.73,273.05,0.42,0.47,0.41,0.43
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,11,16420,4.56,23620,6.56,0,28.4,17.3,87.4,2.85,3.01,2.77,2.88,395.03,358.14,106.72,273.08,0.42,0.47,0.41,0.43
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,12,16420,4.56,23620,6.56,0,28.4,17.3,87.4,2.85,3.01,2.77,2.88,395.06,358.17,106.68,273.08,0.42,0.47,0.41,0.44
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,13,16420,4.56,23620,6.56,0,28.4,17.3,87.4,2.85,3.01,2.77,2.88,394.97,358.04,106.64,273.00,0.42,0.47,0.41,0.44
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,14,16420,4.56,23620,6.56,0,28.5,17.3,87.4,2.85,3.01,2.77,2.88,394.89,357.95,106.58,272.92,0.42,0.47,0.41,0.44
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,15,16420,4.56,23620,6.56,0,28.5,17.3,87.4,2.85,3.01,2.77,2.88,394.84,357.87,106.54,272.86,0.42,0.48,0.41,0.44
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,16,16420,4.56,23620,6.56,0,28.5,17.3,87.4,2.85,3.01,2.77,2.88,394.80,357.81,106.48,272.81,0.42,0.48,0.41,0.44
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,17,16420,4.56,23620,6.56,0,28.5,17.3,87.4,2.85,3.01,2.77,2.88,394.77,357.77,106.43,272.77,0.42,0.48,0.41,0.44
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,18,16420,4.56,23620,6.56,0,28.5,17.3,87.4,2.85,3.01,2.77,2.88,394.75,357.72,106.40,272.73,0.42,0.48,0.41,0.44
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,19,16400,4.56,23600,6.56,-20,28.5,17.3,87.4,2.85,3.01,2.77,2.88,394.73,357.69,106.35,272.70,0.42,0.48,0.41,0.44
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,20,16400,4.56,23600,6.56,0,28.5,17.3,87.4,2.85,3.01,2.77,2.88,394.71,357.64,106.31,272.66,0.42,0.48,0.41,0.44
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,21,16400,4.56,23600,6.56,0,28.5,17.3,87.4,2.85,3.00,2.77,2.88,394.58,357.49,106.25,272.55,0.42,0.48,0.41,0.44
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,22,16400,4.56,23600,6.56,0,28.5,17.3,87.4,2.85,3.00,2.77,2.88,394.49,357.37,106.20,272.46,0.42,0.48,0.41,0.44
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,23,16400,4.56,23600,6.56,0,28.6,17.3,87.4,2.85,3.00,2.77,2.88,393.99,356.82,105.97,272.04,0.43,0.49,0.41,0.44
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,24,16360,4.54,23560,6.54,-40,28.7,17.4,87.5,2.85,3.00,2.77,2.87,393.20,355.95,105.68,271.41,0.43,0.49,0.41,0.44
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,25,16320,4.53,23520,6.53,-40,28.9,17.4,87.5,2.84,3.00,2.77,2.87,392.14,354.81,105.34,270.59,0.43,0.49,0.41,0.45
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,26,16280,4.52,23480,6.52,-40,29.0,17.5,87.5,2.84,3.00,2.77,2.87,391.83,354.43,105.10,270.28,0.44,0.50,0.41,0.45
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,27,16260,4.52,23460,6.52,-20,29.0,17.5,87.5,2.84,3.00,2.77,2.87,391.62,354.17,104.91,270.06,0.44,0.50,0.41,0.45
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,28,16240,4.51,23440,6.51,-20,29.1,17.5,87.5,2.84,3.00,2.77,2.87,391.44,353.95,104.73,269.86,0.43,0.51,0.41,0.45
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,29,16240,4.51,23440,6.51,0,29.1,17.5,87.5,2.84,3.00,2.77,2.87,391.18,353.65,104.53,269.61,0.43,0.51,0.41,0.45
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,30,16220,4.51,23420,6.51,-20,29.2,17.6,87.5,2.84,3.00,2.76,2.87,390.77,353.16,104.33,269.25,0.43,0.51,0.41,0.45
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,31,16200,4.50,23400,6.50,-20,29.3,17.6,87.6,2.84,3.00,2.76,2.87,390.37,352.71,104.10,268.90,0.43,0.52,0.41,0.46
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,32,16180,4.49,23380,6.49,-20,29.3,17.6,87.6,2.84,3.00,2.76,2.87,390.04,352.31,103.88,268.58,0.40,0.52,0.41,0.45
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,33,16160,4.49,23360,6.49,-20,29.4,17.6,87.6,2.84,3.00,2.76,2.87,389.64,351.83,103.66,268.22,0.41,0.53,0.41,0.45
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,34,16140,4.48,23340,6.48,-20,29.5,17.7,87.6,2.84,3.00,2.76,2.87,389.20,351.30,103.42,267.82,0.41,0.53,0.41,0.45
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,35,16120,4.48,23320,6.48,-20,29.5,17.7,87.6,2.84,3.00,2.76,2.87,388.74,350.76,103.19,267.41,0.41,0.53,0.41,0.45
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,36,16100,4.47,23300,6.47,-20,29.6,17.7,87.6,2.84,3.00,2.76,2.87,388.29,350.22,102.95,267.01,0.41,0.54,0.41,0.46
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,37,16060,4.46,23260,6.46,-40,29.7,17.8,87.6,2.84,2.99,2.76,2.87,387.73,349.58,102.71,266.54,0.41,0.54,0.41,0.46
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,38,16040,4.46,23240,6.46,-20,29.8,17.8,87.7,2.84,2.99,2.76,2.87,387.23,348.97,102.49,266.11,0.41,0.54,0.41,0.46
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,39,16020,4.45,23220,6.45,-20,29.9,17.8,87.7,2.84,2.99,2.76,2.87,386.65,348.32,102.24,265.62,0.41,0.55,0.41,0.46
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,40,15980,4.44,23180,6.44,-40,30.0,17.9,87.7,2.83,2.99,2.76,2.87,386.17,347.75,102.00,265.20,0.42,0.55,0.41,0.46
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,41,15960,4.43,23160,6.43,-20,30.1,17.9,87.7,2.83,2.99,2.76,2.87,385.64,347.14,101.77,264.75,0.42,0.56,0.41,0.47
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,42,15920,4.42,23120,6.42,-40,30.2,17.9,87.7,2.83,2.99,2.76,2.87,385.08,346.51,101.53,264.28,0.42,0.56,0.41,0.47
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,43,15900,4.42,23100,6.42,-20,30.3,18.0,87.7,2.83,2.99,2.76,2.86,384.52,345.87,101.29,263.82,0.42,0.56,0.41,0.47
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,44,15880,4.41,23080,6.41,-20,30.4,18.0,87.8,2.83,2.99,2.76,2.86,383.97,345.22,101.05,263.35,0.42,0.53,0.41,0.46
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,45,15840,4.40,23040,6.40,-40,30.5,18.0,87.8,2.83,2.99,2.76,2.86,383.56,344.71,100.83,262.97,0.43,0.53,0.41,0.46
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,46,15820,4.39,23020,6.39,-20,30.5,18.1,87.8,2.83,2.99,2.76,2.86,383.12,344.17,100.64,262.58,0.43,0.53,0.41,0.46
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,47,15800,4.39,23000,6.39,-20,30.6,18.1,87.8,2.83,2.99,2.76,2.86,382.52,343.49,100.41,262.09,0.43,0.54,0.41,0.46
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,48,15760,4.38,22960,6.38,-40,30.7,18.1,87.8,2.83,2.99,2.76,2.86,381.98,342.86,100.18,261.64,0.43,0.54,0.41,0.46
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,49,15740,4.37,22940,6.37,-20,30.8,18.2,87.8,2.83,2.98,2.76,2.86,381.49,342.27,99.96,261.21,0.43,0.55,0.41,0.47
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,50,15720,4.37,22920,6.37,-20,30.9,18.2,87.8,2.83,2.98,2.76,2.86,381.04,341.73,99.75,260.81,0.43,0.55,0.41,0.47
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,51,15700,4.36,22900,6.36,-20,31.0,18.2,87.8,2.83,2.98,2.76,2.86,380.62,341.22,99.54,260.44,0.44,0.55,0.41,0.47
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,52,15660,4.35,22860,6.35,-40,31.0,18.2,87.9,2.83,2.98,2.76,2.86,380.23,340.74,99.34,260.09,0.44,0.56,0.41,0.47
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,53,15640,4.34,22840,6.34,-20,31.1,18.3,87.9,2.82,2.98,2.76,2.86,379.86,340.29,99.14,259.75,0.44,0.56,0.41,0.47
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,54,15620,4.34,22820,6.34,-20,31.2,18.3,87.9,2.82,2.98,2.76,2.86,379.37,339.73,98.94,259.34,0.44,0.56,0.41,0.47
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,55,15600,4.33,22800,6.33,-20,31.3,18.3,87.9,2.82,2.98,2.76,2.86,378.96,339.23,98.73,258.98,0.44,0.57,0.41,0.48
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,56,15580,4.33,22780,6.33,-20,31.3,18.4,87.9,2.82,2.98,2.76,2.86,378.61,338.80,98.54,258.65,0.44,0.57,0.41,0.48
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,57,15560,4.32,22760,6.32,-20,31.4,18.4,87.9,2.82,2.98,2.76,2.86,378.15,338.27,98.35,258.27,0.45,0.57,0.41,0.48
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,58,15540,4.32,22740,6.32,-20,31.5,18.4,87.9,2.82,2.98,2.76,2.86,377.78,337.81,98.15,257.93,0.45,0.58,0.41,0.48
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,59,15520,4.31,22720,6.31,-20,31.5,18.4,87.9,2.82,2.98,2.76,2.86,377.32,337.28,97.96,257.54,0.45,0.58,0.41,0.48
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,60,15500,4.31,22700,6.31,-20,31.6,18.5,87.9,2.82,2.98,2.76,2.86,376.96,336.82,97.80,257.22,0.45,0.58,0.41,0.48
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,61,15480,4.30,22680,6.30,-20,31.7,18.5,88.0,2.82,2.98,2.76,2.86,376.49,336.28,97.61,256.83,0.45,0.59,0.41,0.49
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,62,15460,4.29,22660,6.29,-20,31.8,18.5,88.0,2.82,2.98,2.76,2.86,376.15,335.86,97.42,256.52,0.45,0.59,0.41,0.49
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,63,15440,4.29,22640,6.29,-20,31.8,18.5,88.0,2.82,2.98,2.76,2.86,375.72,335.36,97.24,256.16,0.46,0.59,0.41,0.49
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,64,15400,4.28,22600,6.28,-40,31.9,18.6,88.0,2.82,2.98,2.76,2.85,375.40,334.97,97.06,255.86,0.46,0.60,0.41,0.49
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,65,15400,4.28,22600,6.28,0,32.0,18.6,88.0,2.82,2.97,2.76,2.85,375.00,334.48,96.92,255.53,0.46,0.60,0.41,0.49
