X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,0,14020,3.89,21220,5.89,-20,25.3,7.2,88.9,2.57,2.86,2.78,2.76,251.10,270.64,102.90,202.85,0.44,0.67,0.44,0.53
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,1,14780,4.11,21980,6.11,760,33.4,19.5,88.7,2.82,2.97,2.76,2.85,373.01,329.49,96.49,252.99,0.44,0.67,0.44,0.53
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,2,15320,4.26,22520,6.26,540,32.0,18.9,88.5,2.82,2.98,2.76,2.86,378.44,336.86,96.99,257.30,0.44,0.67,0.44,0.53
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,3,15660,4.35,22860,6.35,340,31.1,18.4,88.4,2.83,2.98,2.76,2.86,382.99,341.80,97.48,260.48,0.44,0.62,0.44,0.51
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,4,15860,4.41,23060,6.41,200,30.6,18.2,88.3,2.83,2.99,2.76,2.86,385.80,344.83,97.86,262.46,0.44,0.62,0.44,0.51
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,5,15980,4.44,23180,6.44,120,30.3,18.1,88.3,2.84,2.99,2.76,2.86,387.44,346.57,98.09,263.61,0.44,0.63,0.44,0.51
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,6,16060,4.46,23260,6.46,80,30.1,18.0,88.2,2.84,2.99,2.76,2.87,388.42,347.62,98.21,264.29,0.44,0.63,0.44,0.51
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,7,16100,4.47,23300,6.47,40,30.0,17.9,88.2,2.84,2.99,2.76,2.87,389.03,348.23,98.28,264.70,0.44,0.63,0.44,0.51
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,8,16120,4.48,23320,6.48,20,30.0,17.9,88.2,2.84,2.99,2.76,2.87,389.39,348.60,98.29,264.93,0.44,0.63,0.44,0.51
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,9,16140,4.48,23340,6.48,20,29.9,17.9,88.2,2.84,2.99,2.76,2.87,389.61,348.81,98.29,265.06,0.44,0.63,0.44,0.51
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,10,16140,4.48,23340,6.48,0,29.9,17.9,88.2,2.84,2.99,2.76,2.87,389.74,348.93,98.26,265.13,0.44,0.63,0.44,0.51
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,11,16140,4.48,23340,6.48,0,29.9,17.9,88.2,2.84,2.99,2.76,2.87,389.83,348.99,98.22,265.16,0.44,0.64,0.44,0.51
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,12,16140,4.48,23340,6.48,0,29.9,17.8,88.2,2.84,2.99,2.76,2.87,389.87,349.03,98.18,265.17,0.44,0.64,0.44,0.51
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,13,16140,4.48,23340,6.48,0,29.9,17.8,88.2,2.84,2.99,2.76,2.87,389.82,348.94,98.12,265.10,0.44,0.64,0.44,0.51
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,14,16140,4.48,23340,6.48,0,29.9,17.9,88.2,2.84,2.99,2.76,2.87,389.77,348.88,98.06,265.05,0.44,0.64,0.44,0.51
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,15,16140,4.48,23340,6.48,0,29.9,17.9,88.2,2.84,2.99,2.76,2.87,389.76,348.83,98.01,265.00,0.44,0.64,0.44,0.51
