X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,0,14100,3.92,21300,5.92,60,21.0,7.2,67.8,3.59,2.64,2.89,2.97,743.98,352.38,170.89,382.22,0.46,0.62,0.14,0.40
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,1,12180,3.38,19380,5.38,-1920,30.6,16.0,70.2,3.54,2.59,2.91,2.95,713.07,321.40,178.33,365.67,0.46,0.62,0.14,0.40
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,2,10980,3.05,18180,5.05,-1200,33.5,17.3,71.5,3.50,2.56,2.93,2.94,692.30,302.51,187.03,356.65,0.46,0.62,0.14,0.40
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,3,10200,2.83,17400,4.83,-780,35.4,18.2,72.1,3.48,2.54,2.94,2.93,678.87,290.80,194.48,351.69,0.46,0.58,0.14,0.38
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,4,9700,2.69,16900,4.69,-500,36.6,18.8,72.5,3.47,2.53,2.95,2.93,670.01,283.28,200.12,348.78,0.46,0.58,0.14,0.38
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,5,9380,2.61,16580,4.61,-320,37.4,19.2,72.8,3.46,2.52,2.96,2.92,664.05,278.29,204.27,346.97,0.46,0.58,0.14,0.38
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,6,9140,2.54,16340,4.54,-240,38.0,19.5,72.9,3.46,2.52,2.97,2.92,660.08,275.01,207.09,345.80,0.46,0.58,0.14,0.39
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,7,9000,2.50,16200,4.50,-140,38.3,19.6,73.1,3.45,2.52,2.97,2.92,657.45,272.82,209.00,345.05,0.46,0.59,0.14,0.39
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,8,8900,2.47,16100,4.47,-100,38.6,19.8,73.1,3.45,2.52,2.97,2.92,655.70,271.36,210.20,344.51,0.46,0.59,0.14,0.39
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,9,8840,2.46,16040,4.46,-60,38.8,19.8,73.2,3.45,2.51,2.98,2.92,654.56,270.39,210.98,344.15,0.46,0.59,0.14,0.39
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,10,8780,2.44,15980,4.44,-60,38.8,19.9,73.2,3.45,2.51,2.98,2.92,653.80,269.74,211.38,343.87,0.46,0.59,0.14,0.39
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,11,8760,2.43,15960,4.43,-20,38.9,19.9,73.2,3.45,2.51,2.98,2.92,653.33,269.31,211.62,343.68,0.46,0.59,0.14,0.39
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,12,8740,2.43,15940,4.43,-20,39.0,20.0,73.2,3.45,2.51,2.98,2.92,653.03,269.03,211.65,343.51,0.46,0.59,0.14,0.39
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,13,8740,2.43,15940,4.43,0,39.0,20.0,73.2,3.44,2.51,2.98,2.92,652.78,268.79,211.69,343.38,0.46,0.59,0.14,0.39
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,14,8720,2.42,15920,4.42,-20,39.0,20.0,73.2,3.44,2.51,2.98,2.92,652.64,268.64,211.59,343.25,0.46,0.60,0.14,0.39
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,15,8720,2.42,15920,4.42,0,39.0,20.0,73.2,3.44,2.51,2.98,2.92,652.58,268.54,211.49,343.16,0.46,0.60,0.14,0.39
7.666645,-0.376248,1.041400,0.630653,0.593529,0.500000,16,8720,2.42,15920,4.42,0,39.0,20.0,73.2,3.44,2.51,2.98,2.92,652.55,268.48,211.30,343.06,0.46,0.60,0.14,0.39
