X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,0,14100,3.92,21300,5.92,60,20.5,7.2,66.6,3.59,2.64,2.92,2.98,746.53,355.78,173.66,385.17,0.42,0.59,0.13,0.37
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,1,12260,3.41,19460,5.41,-1840,29.8,15.6,69.1,3.54,2.59,2.94,2.96,716.77,325.73,180.63,369.08,0.42,0.59,0.13,0.37
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,2,11100,3.08,18300,5.08,-1160,32.6,16.9,70.4,3.51,2.57,2.95,2.95,696.39,306.99,188.80,360.02,0.42,0.59,0.13,0.38
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,3,10320,2.87,17520,4.87,-780,34.5,17.8,71.1,3.49,2.55,2.97,2.94,683.02,295.21,195.93,354.93,0.42,0.55,0.13,0.36
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,4,9820,2.73,17020,4.73,-500,35.7,18.4,71.6,3.48,2.54,2.98,2.94,674.09,287.55,201.41,351.88,0.42,0.55,0.13,0.36
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,5,9480,2.63,16680,4.63,-340,36.6,18.8,71.8,3.47,2.53,2.98,2.94,668.00,282.40,205.50,349.96,0.42,0.55,0.13,0.36
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,6,9240,2.57,16440,4.57,-240,37.1,19.0,72.0,3.46,2.53,2.99,2.93,663.89,278.97,208.33,348.71,0.42,0.55,0.13,0.36
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,7,9100,2.53,16300,4.53,-140,37.5,19.2,72.1,3.46,2.52,2.99,2.93,661.14,276.66,210.28,347.89,0.42,0.55,0.13,0.36
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,8,8980,2.49,16180,4.49,-120,37.8,19.3,72.2,3.45,2.52,3.00,2.93,659.28,275.11,211.50,347.30,0.42,0.56,0.13,0.36
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,9,8920,2.48,16120,4.48,-60,38.0,19.4,72.3,3.45,2.52,3.00,2.93,658.06,274.06,212.31,346.90,0.42,0.56,0.13,0.36
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,10,8880,2.47,16080,4.47,-40,38.1,19.5,72.3,3.45,2.52,3.00,2.93,657.24,273.35,212.74,346.59,0.42,0.56,0.13,0.36
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,11,8840,2.46,16040,4.46,-40,38.1,19.5,72.3,3.45,2.52,3.00,2.93,656.72,272.88,212.99,346.38,0.42,0.56,0.13,0.36
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,12,8820,2.45,16020,4.45,-20,38.2,19.5,72.3,3.45,2.52,3.00,2.93,656.38,272.57,213.04,346.20,0.42,0.56,0.13,0.36
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,13,8800,2.44,16000,4.44,-20,38.2,19.6,72.3,3.45,2.52,3.00,2.93,656.10,272.29,213.08,346.04,0.42,0.56,0.13,0.36
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,14,8800,2.44,16000,4.44,0,38.3,19.6,72.4,3.45,2.52,3.00,2.93,655.94,272.13,212.99,345.90,0.42,0.56,0.13,0.37
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,15,8800,2.44,16000,4.44,0,38.3,19.6,72.4,3.45,2.52,3.00,2.93,655.86,272.01,212.89,345.80,0.42,0.57,0.13,0.37
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,16,8780,2.44,15980,4.44,-20,38.3,19.6,72.4,3.45,2.52,3.00,2.93,655.83,271.95,212.68,345.69,0.42,0.57,0.13,0.37
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,17,8780,2.44,15980,4.44,0,38.3,19.6,72.4,3.45,2.52,3.00,2.93,655.84,271.93,212.44,345.60,0.42,0.57,0.13,0.37
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,18,8800,2.44,16000,4.44,20,38.3,19.6,72.4,3.45,2.52,3.00,2.93,655.90,271.92,212.24,345.53,0.42,0.57,0.13,0.37
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,19,8800,2.44,16000,4.44,0,38.3,19.6,72.4,3.45,2.52,3.00,2.93,655.94,271.92,211.97,345.45,0.42,0.57,0.13,0.37
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,20,8800,2.44,16000,4.44,0,38.3,19.6,72.4,3.45,2.52,3.00,2.93,656.02,271.93,211.76,345.39,0.42,0.57,0.13,0.37
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,21,8800,2.44,16000,4.44,0,38.3,19.6,72.4,3.45,2.52,3.00,2.93,655.99,271.88,211.54,345.28,0.42,0.57,0.13,0.37
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,22,8800,2.44,16000,4.44,0,38.3,19.6,72.4,3.45,2.52,3.00,2.93,656.03,271.86,211.36,345.21,0.42,0.58,0.13,0.37
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,23,8800,2.44,16000,4.44,0,38.3,19.6,72.4,3.45,2.52,3.00,2.93,655.54,271.35,210.85,344.71,0.42,0.58,0.13,0.37
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,24,8780,2.44,15980,4.44,-20,38.3,19.6,72.4,3.45,2.51,3.00,2.93,654.84,270.66,210.54,344.16,0.43,0.59,0.13,0.38
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,25,8760,2.43,15960,4.43,-20,38.4,19.6,72.4,3.45,2.51,3.00,2.93,653.92,269.81,210.41,343.56,0.43,0.60,0.13,0.38
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,26,8740,2.43,15940,4.43,-20,38.5,19.7,72.4,3.45,2.51,3.00,2.93,653.61,269.39,209.91,343.14,0.44,0.60,0.13,0.39
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,27,8720,2.42,15920,4.42,-20,38.5,19.7,72.5,3.45,2.51,2.99,2.93,653.29,269.01,209.37,342.71,0.44,0.61,0.13,0.39
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,28,8720,2.42,15920,4.42,0,38.5,19.7,72.5,3.45,2.51,2.99,2.93,653.03,268.67,208.80,342.31,0.44,0.62,0.13,0.39
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,29,8700,2.42,15900,4.42,-20,38.6,19.7,72.5,3.44,2.51,2.99,2.93,652.72,268.30,208.25,341.89,0.44,0.62,0.13,0.39
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,30,8700,2.42,15900,4.42,0,38.6,19.7,72.5,3.44,2.51,2.99,2.92,652.31,267.83,207.87,341.47,0.44,0.63,0.13,0.40
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,31,8680,2.41,15880,4.41,-20,38.7,19.7,72.5,3.44,2.51,2.99,2.92,651.91,267.40,207.42,341.04,0.44,0.64,0.13,0.40
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,32,8660,2.41,15860,4.41,-20,38.7,19.7,72.5,3.44,2.51,2.99,2.92,651.59,267.01,206.95,340.63,0.40,0.65,0.13,0.39
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,33,8660,2.41,15860,4.41,0,38.7,19.8,72.5,3.44,2.51,2.99,2.92,651.23,266.60,206.50,340.22,0.40,0.65,0.13,0.39
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,34,8640,2.40,15840,4.40,-20,38.8,19.8,72.6,3.44,2.51,2.99,2.92,650.85,266.18,206.08,339.81,0.40,0.66,0.13,0.40
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,35,8640,2.40,15840,4.40,0,38.8,19.8,72.6,3.44,2.51,2.99,2.92,650.49,265.77,205.67,339.41,0.41,0.67,0.13,0.40
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,36,8620,2.39,15820,4.39,-20,38.8,19.8,72.6,3.44,2.51,2.99,2.92,650.14,265.37,205.25,339.02,0.41,0.67,0.13,0.40
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,37,8620,2.39,15820,4.39,0,38.9,19.8,72.6,3.44,2.51,2.99,2.92,649.71,264.93,204.88,338.61,0.41,0.68,0.13,0.41
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,38,8600,2.39,15800,4.39,-20,39.0,19.8,72.6,3.44,2.51,2.99,2.92,649.36,264.50,204.57,338.24,0.41,0.69,0.13,0.41
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,39,8600,2.39,15800,4.39,0,39.0,19.8,72.6,3.44,2.50,2.99,2.92,648.92,264.05,204.24,337.84,0.41,0.69,0.13,0.41
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,40,8580,2.38,15780,4.38,-20,39.0,19.9,72.6,3.44,2.50,2.99,2.92,648.59,263.69,203.86,337.48,0.41,0.70,0.13,0.42
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,41,8560,2.38,15760,4.38,-20,39.0,19.9,72.7,3.44,2.50,2.99,2.92,648.23,263.31,203.49,337.11,0.42,0.71,0.13,0.42
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,42,8560,2.38,15760,4.38,0,39.1,19.9,72.7,3.44,2.50,2.99,2.92,647.86,262.94,203.14,336.74,0.42,0.72,0.13,0.42
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,43,8540,2.37,15740,4.37,-20,39.1,19.9,72.7,3.44,2.50,2.99,2.92,647.50,262.57,202.79,336.38,0.42,0.72,0.13,0.43
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,44,8540,2.37,15740,4.37,0,39.2,19.9,72.7,3.44,2.50,2.99,2.92,647.16,262.18,202.44,336.02,0.42,0.67,0.13,0.41
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,45,8520,2.37,15720,4.37,-20,39.2,19.9,72.7,3.44,2.50,2.99,2.92,646.94,261.89,202.01,335.70,0.42,0.68,0.13,0.41
