X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,0,14100,3.92,21300,5.92,60,20.2,7.2,65.8,3.59,2.64,2.94,2.99,747.67,358.09,175.51,387.02,0.42,0.49,0.13,0.34
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,1,12360,3.43,19560,5.43,-1740,29.2,15.4,68.3,3.55,2.60,2.95,2.97,719.36,329.54,182.30,371.78,0.42,0.50,0.13,0.34
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,2,11240,3.12,18440,5.12,-1120,31.9,16.6,69.6,3.52,2.57,2.97,2.96,699.72,311.50,190.09,363.03,0.42,0.50,0.13,0.34
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,3,10500,2.92,17700,4.92,-740,33.6,17.4,70.4,3.50,2.56,2.98,2.95,686.76,300.07,196.91,358.06,0.42,0.46,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,4,10000,2.78,17200,4.78,-500,34.9,18.0,70.9,3.48,2.55,2.99,2.95,678.04,292.58,202.22,355.06,0.42,0.46,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,5,9660,2.68,16860,4.68,-340,35.7,18.4,71.1,3.47,2.54,3.00,2.95,672.03,287.51,206.23,353.16,0.42,0.47,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,6,9440,2.62,16640,4.62,-220,36.3,18.6,71.3,3.47,2.53,3.01,2.94,667.92,284.09,209.05,351.91,0.42,0.47,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,7,9280,2.58,16480,4.58,-160,36.6,18.8,71.5,3.46,2.53,3.01,2.94,665.14,281.76,211.06,351.09,0.42,0.47,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,8,9180,2.55,16380,4.55,-100,36.9,18.9,71.5,3.46,2.53,3.01,2.94,663.23,280.18,212.37,350.51,0.42,0.47,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,9,9100,2.53,16300,4.53,-80,37.1,19.0,71.6,3.46,2.53,3.01,2.94,661.94,279.09,213.27,350.12,0.42,0.47,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,10,9060,2.52,16260,4.52,-40,37.2,19.1,71.6,3.46,2.53,3.02,2.94,661.05,278.35,213.80,349.82,0.42,0.47,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,11,9020,2.51,16220,4.51,-40,37.3,19.1,71.7,3.46,2.52,3.02,2.94,660.47,277.84,214.16,349.62,0.42,0.47,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,12,9000,2.50,16200,4.50,-20,37.3,19.2,71.7,3.46,2.52,3.02,2.94,660.07,277.49,214.31,349.44,0.42,0.47,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,13,8980,2.49,16180,4.49,-20,37.4,19.2,71.7,3.46,2.52,3.02,2.94,659.73,277.18,214.46,349.30,0.42,0.47,0.13,0.33
