X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,0,14100,3.92,21300,5.92,60,21.0,7.2,67.8,3.59,2.64,2.89,2.97,744.44,352.43,170.44,382.19,0.44,0.67,0.14,0.41
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,1,12160,3.38,19360,5.38,-1940,30.7,16.0,70.2,3.54,2.59,2.91,2.95,713.37,321.13,177.66,365.39,0.44,0.67,0.14,0.41
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,2,10960,3.04,18160,5.04,-1200,33.6,17.3,71.5,3.50,2.56,2.93,2.93,692.47,302.02,186.22,356.21,0.44,0.67,0.14,0.41
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,3,10180,2.83,17380,4.83,-780,35.4,18.2,72.1,3.48,2.54,2.94,2.93,678.93,290.16,193.59,351.14,0.44,0.62,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,4,9680,2.69,16880,4.69,-500,36.7,18.8,72.5,3.47,2.53,2.95,2.92,670.02,282.55,199.18,348.15,0.44,0.62,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,5,9340,2.59,16540,4.59,-340,37.5,19.2,72.8,3.46,2.52,2.96,2.92,664.03,277.51,203.26,346.30,0.44,0.63,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,6,9120,2.53,16320,4.53,-220,38.1,19.5,73.0,3.46,2.52,2.97,2.92,660.05,274.20,206.02,345.09,0.44,0.63,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,7,8960,2.49,16160,4.49,-160,38.4,19.7,73.1,3.45,2.52,2.97,2.92,657.42,271.99,207.88,344.30,0.44,0.63,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,8,8860,2.46,16060,4.46,-100,38.7,19.8,73.1,3.45,2.51,2.97,2.92,655.67,270.53,209.01,343.74,0.44,0.63,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,9,8800,2.44,16000,4.44,-60,38.9,19.9,73.2,3.45,2.51,2.97,2.92,654.54,269.55,209.73,343.37,0.44,0.63,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,10,8760,2.43,15960,4.43,-40,38.9,19.9,73.2,3.45,2.51,2.98,2.92,653.80,268.91,210.08,343.07,0.44,0.63,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,11,8740,2.43,15940,4.43,-20,39.0,19.9,73.2,3.45,2.51,2.98,2.92,653.35,268.48,210.26,342.87,0.44,0.64,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,12,8720,2.42,15920,4.42,-20,39.0,20.0,73.2,3.45,2.51,2.98,2.92,653.06,268.21,210.24,342.68,0.44,0.64,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,13,8700,2.42,15900,4.42,-20,39.0,20.0,73.2,3.45,2.51,2.98,2.92,652.83,267.97,210.23,342.53,0.44,0.64,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,14,8700,2.42,15900,4.42,0,39.1,20.0,73.3,3.44,2.51,2.98,2.92,652.70,267.82,210.08,342.39,0.44,0.64,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,15,8700,2.42,15900,4.42,0,39.1,20.0,73.3,3.44,2.51,2.98,2.92,652.66,267.72,209.94,342.29,0.44,0.64,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,16,8700,2.42,15900,4.42,0,39.1,20.0,73.3,3.44,2.51,2.98,2.92,652.64,267.67,209.70,342.17,0.44,0.64,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,17,8700,2.42,15900,4.42,0,39.1,20.0,73.3,3.44,2.51,2.97,2.92,652.67,267.65,209.42,342.07,0.44,0.64,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,18,8700,2.42,15900,4.42,0,39.1,20.0,73.3,3.44,2.51,2.97,2.92,652.74,267.64,209.19,342.00,0.44,0.65,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,19,8700,2.42,15900,4.42,0,39.1,20.0,73.3,3.45,2.51,2.97,2.92,652.80,267.65,208.89,341.90,0.44,0.65,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,20,8700,2.42,15900,4.42,0,39.1,20.0,73.3,3.45,2.51,2.97,2.92,652.88,267.66,208.65,341.84,0.44,0.65,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,21,8700,2.42,15900,4.42,0,39.1,20.0,73.3,3.45,2.51,2.97,2.92,652.87,267.62,208.40,341.73,0.44,0.65,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,22,8700,2.42,15900,4.42,0,39.1,20.0,73.3,3.45,2.51,2.97,2.92,652.91,267.59,208.19,341.65,0.44,0.65,0.14,0.41
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,23,8700,2.42,15900,4.42,0,39.1,20.0,73.2,3.44,2.51,2.97,2.92,652.59,267.21,207.55,341.18,0.44,0.66,0.14,0.41
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,24,8700,2.42,15900,4.42,0,39.1,20.0,73.3,3.44,2.51,2.97,2.92,652.15,266.73,207.03,340.69,0.44,0.67,0.14,0.41
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,25,8680,2.41,15880,4.41,-20,39.2,20.0,73.3,3.44,2.51,2.97,2.92,651.55,266.13,206.63,340.17,0.45,0.68,0.14,0.42
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,26,8660,2.41,15860,4.41,-20,39.2,20.0,73.3,3.44,2.51,2.97,2.91,651.52,265.94,205.90,339.82,0.45,0.68,0.14,0.42
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,27,8660,2.41,15860,4.41,0,39.2,20.0,73.3,3.44,2.51,2.97,2.91,651.49,265.78,205.13,339.46,0.45,0.69,0.14,0.42
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,28,8660,2.41,15860,4.41,0,39.2,20.0,73.3,3.44,2.51,2.97,2.91,651.49,265.66,204.33,339.12,0.45,0.70,0.14,0.43
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,29,8680,2.41,15880,4.41,20,39.2,20.0,73.3,3.44,2.51,2.97,2.91,651.45,265.51,203.58,338.77,0.45,0.71,0.14,0.43
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,30,8680,2.41,15880,4.41,0,39.2,20.0,73.3,3.44,2.51,2.97,2.91,651.31,265.25,202.99,338.42,0.45,0.71,0.14,0.43
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,31,8660,2.41,15860,4.41,-20,39.2,20.0,73.3,3.44,2.51,2.97,2.91,651.16,265.02,202.35,338.05,0.45,0.72,0.14,0.43
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,32,8660,2.41,15860,4.41,0,39.2,20.0,73.3,3.44,2.51,2.96,2.91,651.06,264.82,201.70,337.71,0.42,0.73,0.14,0.43
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,33,8660,2.41,15860,4.41,0,39.3,20.1,73.3,3.44,2.51,2.96,2.91,650.91,264.59,201.09,337.36,0.42,0.74,0.14,0.43
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,34,8660,2.41,15860,4.41,0,39.3,20.1,73.3,3.44,2.51,2.96,2.91,650.74,264.34,200.52,337.01,0.42,0.74,0.14,0.44
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,35,8660,2.41,15860,4.41,0,39.3,20.1,73.3,3.44,2.50,2.96,2.91,650.57,264.09,199.96,336.66,0.42,0.75,0.14,0.44
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,36,8660,2.41,15860,4.41,0,39.3,20.1,73.3,3.44,2.50,2.96,2.91,650.39,263.85,199.41,336.32,0.42,0.76,0.14,0.44
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,37,8660,2.41,15860,4.41,0,39.3,20.1,73.4,3.44,2.50,2.96,2.91,650.14,263.56,198.92,335.97,0.42,0.77,0.14,0.44
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,38,8640,2.40,15840,4.40,-20,39.4,20.1,73.4,3.44,2.50,2.96,2.91,649.95,263.27,198.50,335.65,0.43,0.77,0.14,0.45
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,39,8640,2.40,15840,4.40,0,39.4,20.1,73.4,3.44,2.50,2.96,2.91,649.67,262.96,198.06,335.30,0.43,0.78,0.14,0.45
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,40,8640,2.40,15840,4.40,0,39.4,20.1,73.4,3.44,2.50,2.96,2.91,649.47,262.72,197.58,334.98,0.43,0.79,0.14,0.45
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,41,8620,2.39,15820,4.39,-20,39.4,20.1,73.4,3.44,2.50,2.96,2.91,649.24,262.45,197.13,334.65,0.43,0.80,0.14,0.46
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,42,8620,2.39,15820,4.39,0,39.5,20.1,73.4,3.44,2.50,2.96,2.91,649.00,262.19,196.70,334.33,0.43,0.80,0.14,0.46
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,43,8620,2.39,15820,4.39,0,39.5,20.1,73.4,3.44,2.50,2.96,2.91,648.76,261.93,196.28,334.02,0.43,0.81,0.14,0.46
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,44,8600,2.39,15800,4.39,-20,39.5,20.1,73.4,3.44,2.50,2.96,2.91,648.53,261.64,195.86,333.69,0.44,0.75,0.14,0.44
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,45,8600,2.39,15800,4.39,0,39.5,20.1,73.4,3.44,2.50,2.96,2.91,648.40,261.44,195.39,333.41,0.44,0.76,0.14,0.45
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,46,8600,2.39,15800,4.39,0,39.5,20.1,73.4,3.44,2.50,2.96,2.91,648.24,261.20,195.03,333.15,0.44,0.77,0.14,0.45
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,47,8600,2.39,15800,4.39,0,39.6,20.1,73.4,3.44,2.50,2.96,2.91,647.95,260.88,194.67,332.82,0.44,0.77,0.14,0.45
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,48,8580,2.38,15780,4.38,-20,39.6,20.1,73.4,3.44,2.50,2.96,2.91,647.73,260.61,194.30,332.52,0.44,0.78,0.14,0.45
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,49,8580,2.38,15780,4.38,0,39.6,20.2,73.4,3.44,2.50,2.96,2.91,647.54,260.36,193.91,332.23,0.45,0.79,0.14,0.46
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,50,8580,2.38,15780,4.38,0,39.6,20.2,73.4,3.44,2.50,2.96,2.90,647.38,260.14,193.50,331.96,0.45,0.79,0.14,0.46
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,51,8580,2.38,15780,4.38,0,39.6,20.2,73.4,3.44,2.50,2.95,2.90,647.24,259.95,193.09,331.70,0.45,0.80,0.14,0.46
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,52,8580,2.38,15780,4.38,0,39.6,20.2,73.5,3.44,2.50,2.95,2.90,647.12,259.77,192.68,331.45,0.45,0.81,0.14,0.47
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,53,8560,2.38,15760,4.38,-20,39.6,20.2,73.5,3.44,2.50,2.95,2.90,647.03,259.61,192.25,331.21,0.45,0.81,0.14,0.47
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,54,8560,2.38,15760,4.38,0,39.6,20.2,73.5,3.44,2.50,2.95,2.90,646.84,259.39,191.89,330.94,0.45,0.82,0.14,0.47
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,55,8560,2.38,15760,4.38,0,39.7,20.2,73.5,3.44,2.50,2.95,2.90,646.72,259.21,191.51,330.70,0.46,0.83,0.14,0.48
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,56,8560,2.38,15760,4.38,0,39.7,20.2,73.5,3.44,2.50,2.95,2.90,646.64,259.07,191.10,330.47,0.46,0.83,0.14,0.48
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,57,8560,2.38,15760,4.38,0,39.7,20.2,73.5,3.44,2.50,2.95,2.90,646.47,258.86,190.76,330.23,0.46,0.84,0.14,0.48
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,58,8560,2.38,15760,4.38,0,39.7,20.2,73.5,3.44,2.50,2.95,2.90,646.38,258.72,190.38,330.01,0.46,0.85,0.14,0.48
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,59,8560,2.38,15760,4.38,0,39.7,20.2,73.5,3.44,2.50,2.95,2.90,646.21,258.52,190.05,329.77,0.46,0.85,0.14,0.49
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,60,8560,2.38,15760,4.38,0,39.7,20.2,73.5,3.44,2.50,2.95,2.90,646.12,258.35,189.78,329.58,0.46,0.86,0.14,0.49
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,61,8560,2.38,15760,4.38,0,39.7,20.2,73.5,3.44,2.50,2.95,2.90,645.92,258.14,189.49,329.34,0.47,0.87,0.14,0.49
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,62,8540,2.37,15740,4.37,-20,39.7,20.2,73.5,3.44,2.50,2.95,2.90,645.83,258.00,189.14,329.14,0.47,0.87,0.14,0.50
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,63,8540,2.37,15740,4.37,0,39.8,20.2,73.5,3.43,2.50,2.95,2.90,645.67,257.82,188.84,328.91,0.47,0.88,0.14,0.50
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,64,8540,2.37,15740,4.37,0,39.8,20.2,73.5,3.43,2.50,2.95,2.90,645.61,257.71,188.49,328.73,0.47,0.89,0.14,0.50
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,65,8540,2.37,15740,4.37,0,39.8,20.2,73.5,3.43,2.50,2.95,2.90,645.47,257.52,188.28,328.54,0.47,0.89,0.14,0.50
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,66,8540,2.37,15740,4.37,0,39.8,20.2,73.5,3.43,2.50,2.95,2.90,645.25,257.35,187.93,328.29,0.47,0.90,0.14,0.51
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,67,8540,2.37,15740,4.37,0,39.8,20.2,73.5,3.43,2.50,2.95,2.90,645.23,257.32,187.96,328.29,0.47,0.90,0.14,0.51
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,68,8540,2.37,15740,4.37,0,39.8,20.2,73.5,3.43,2.49,2.95,2.90,644.73,256.85,187.65,327.87,0.48,0.90,0.14,0.51
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,69,8520,2.37,15720,4.37,-20,39.9,20.2,73.5,3.43,2.49,2.95,2.90,644.12,256.28,187.43,327.42,0.48,0.91,0.14,0.51
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,70,8500,2.36,15700,4.36,-20,39.9,20.3,73.6,3.43,2.49,2.95,2.90,643.32,255.62,187.23,326.90,0.48,0.91,0.14,0.51
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,71,8480,2.36,15680,4.36,-20,40.0,20.3,73.6,3.43,2.49,2.95,2.90,642.51,254.94,187.06,326.38,0.48,0.91,0.14,0.51
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,72,8460,2.35,15660,4.35,-20,40.1,20.3,73.6,3.43,2.49,2.95,2.90,641.57,254.17,186.97,325.82,0.48,0.91,0.14,0.52
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,73,8440,2.34,15640,4.34,-20,40.1,20.4,73.6,3.43,2.49,2.95,2.90,640.60,253.35,187.01,325.29,0.48,0.92,0.14,0.52
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,74,8420,2.34,15620,4.34,-20,40.2,20.4,73.7,3.43,2.49,2.95,2.90,639.62,252.55,186.97,324.73,0.48,0.92,0.15,0.52
