X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,0,14020,3.89,21220,5.89,-20,21.4,7.2,65.8,2.57,2.85,3.08,2.87,249.89,265.31,184.77,231.25,0.65,1.09,0.12,0.62
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,1,11500,3.19,18700,5.19,-2520,31.6,15.8,68.8,2.69,2.88,3.11,2.92,300.19,266.90,199.36,249.90,0.65,1.10,0.12,0.62
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,2,9940,2.76,17140,4.76,-1560,35.2,17.5,70.2,2.69,2.86,3.15,2.93,291.22,250.05,215.87,247.53,0.65,1.10,0.12,0.62
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,3,8960,2.49,16160,4.49,-980,37.5,18.6,70.9,2.67,2.85,3.17,2.93,279.47,236.98,229.39,244.75,0.65,0.97,0.12,0.57
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,4,8340,2.32,15540,4.32,-620,38.9,19.4,71.3,2.67,2.84,3.19,2.93,272.12,228.73,239.10,243.47,0.65,0.98,0.12,0.57
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,5,7960,2.21,15160,4.21,-380,39.9,19.8,71.6,2.66,2.83,3.20,2.93,267.37,223.39,245.83,242.80,0.65,0.98,0.12,0.58
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,6,7700,2.14,14900,4.14,-260,40.5,20.2,71.7,2.66,2.83,3.21,2.93,264.37,219.98,250.19,242.40,0.65,0.99,0.12,0.58
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,7,7540,2.09,14740,4.09,-160,40.9,20.4,71.8,2.65,2.82,3.22,2.93,262.51,217.80,252.99,242.17,0.65,0.99,0.12,0.58
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,8,7440,2.07,14640,4.07,-100,41.1,20.5,71.9,2.65,2.82,3.22,2.93,261.34,216.41,254.64,241.98,0.65,0.99,0.12,0.58
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,9,7360,2.04,14560,4.04,-80,41.3,20.6,71.9,2.65,2.82,3.22,2.93,260.65,215.54,255.64,241.86,0.65,1.00,0.12,0.58
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,10,7320,2.03,14520,4.03,-40,41.4,20.6,71.9,2.65,2.82,3.22,2.93,260.25,215.00,256.09,241.72,0.65,1.00,0.12,0.58
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,11,7300,2.03,14500,4.03,-20,41.4,20.7,71.9,2.65,2.82,3.22,2.93,260.05,214.68,256.31,241.63,0.65,1.00,0.12,0.58
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,12,7300,2.03,14500,4.03,0,41.5,20.7,72.0,2.65,2.82,3.22,2.93,259.96,214.49,256.26,241.52,0.65,1.01,0.12,0.59
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,13,7280,2.02,14480,4.02,-20,41.5,20.7,72.0,2.65,2.82,3.22,2.93,259.89,214.34,256.22,241.43,0.65,1.01,0.12,0.59
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,14,7280,2.02,14480,4.02,0,41.5,20.7,72.0,2.65,2.82,3.22,2.93,259.90,214.27,256.01,241.33,0.65,1.01,0.12,0.59
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,15,7280,2.02,14480,4.02,0,41.5,20.7,72.0,2.65,2.82,3.22,2.93,259.98,214.25,255.80,241.26,0.65,1.02,0.12,0.59
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,16,7280,2.02,14480,4.02,0,41.5,20.7,72.0,2.65,2.82,3.22,2.93,260.05,214.26,255.49,241.17,0.65,1.02,0.12,0.59
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,17,7280,2.02,14480,4.02,0,41.5,20.7,72.0,2.65,2.82,3.22,2.93,260.17,214.30,255.13,241.08,0.65,1.03,0.12,0.59
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,18,7300,2.03,14500,4.03,20,41.4,20.7,71.9,2.65,2.82,3.22,2.93,260.30,214.35,254.84,241.02,0.65,1.03,0.12,0.59
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,19,7300,2.03,14500,4.03,0,41.4,20.7,71.9,2.65,2.82,3.22,2.93,260.41,214.40,254.48,240.93,0.65,1.03,0.12,0.59
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,20,7300,2.03,14500,4.03,0,41.4,20.7,71.9,2.65,2.82,3.22,2.93,260.55,214.46,254.19,240.88,0.65,1.04,0.12,0.60
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,21,7300,2.03,14500,4.03,0,41.4,20.7,71.9,2.65,2.82,3.22,2.93,260.58,214.46,253.89,240.78,0.65,1.04,0.12,0.60
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,22,7300,2.03,14500,4.03,0,41.4,20.7,71.9,2.65,2.82,3.22,2.93,260.70,214.50,253.64,240.73,0.65,1.04,0.12,0.60
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,23,7320,2.03,14520,4.03,20,41.4,20.7,72.0,2.65,2.82,3.22,2.93,259.82,213.65,252.90,239.91,0.68,1.06,0.12,0.61
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,24,7300,2.03,14500,4.03,-20,41.5,20.7,72.0,2.65,2.82,3.22,2.93,259.06,212.74,252.44,239.21,0.70,1.08,0.12,0.62
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,25,7280,2.02,14480,4.02,-20,41.6,20.7,72.0,2.65,2.82,3.22,2.93,258.22,211.74,252.15,238.51,0.73,1.09,0.12,0.64
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,26,7240,2.01,14440,4.01,-40,41.6,20.8,72.0,2.65,2.82,3.22,2.93,257.90,211.09,251.52,237.96,0.75,1.11,0.12,0.65
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,27,7220,2.01,14420,4.01,-20,41.7,20.8,72.0,2.65,2.81,3.22,2.92,257.53,210.49,250.84,237.38,0.76,1.13,0.12,0.66
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,28,7220,2.01,14420,4.01,0,41.8,20.8,72.1,2.65,2.81,3.22,2.92,257.25,209.98,250.08,236.83,0.76,1.14,0.12,0.66
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,29,7200,2.00,14400,4.00,-20,41.8,20.8,72.1,2.65,2.81,3.22,2.92,256.99,209.50,249.31,236.30,0.77,1.16,0.12,0.67
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,30,7200,2.00,14400,4.00,0,41.8,20.8,72.1,2.65,2.81,3.22,2.92,256.71,209.00,248.68,235.81,0.78,1.18,0.12,0.68
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,31,7200,2.00,14400,4.00,0,41.8,20.8,72.1,2.65,2.81,3.21,2.92,256.51,208.59,247.93,235.32,0.78,1.19,0.12,0.69
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,32,7180,1.99,14380,3.99,-20,41.9,20.9,72.1,2.65,2.81,3.21,2.92,256.42,208.27,247.12,234.88,0.66,1.21,0.12,0.66
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,33,7180,1.99,14380,3.99,0,41.9,20.9,72.1,2.65,2.81,3.21,2.92,256.32,207.95,246.33,234.44,0.67,1.22,0.12,0.67
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,34,7180,1.99,14380,3.99,0,41.9,20.9,72.1,2.65,2.81,3.21,2.92,256.25,207.68,245.55,234.02,0.68,1.24,0.12,0.68
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,35,7180,1.99,14380,3.99,0,41.9,20.9,72.1,2.65,2.81,3.21,2.92,256.21,207.44,244.77,233.63,0.69,1.26,0.12,0.69
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,36,7180,1.99,14380,3.99,0,41.9,20.9,72.1,2.65,2.81,3.21,2.92,256.19,207.24,243.99,233.26,0.70,1.27,0.12,0.70
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,37,7180,1.99,14380,3.99,0,41.9,20.9,72.1,2.65,2.81,3.21,2.92,256.11,207.02,243.28,232.89,0.71,1.29,0.12,0.71
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,38,7180,1.99,14380,3.99,0,41.9,20.9,72.1,2.65,2.81,3.21,2.92,256.12,206.80,242.64,232.57,0.72,1.30,0.12,0.71
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,39,7180,1.99,14380,3.99,0,41.9,20.9,72.1,2.65,2.81,3.21,2.92,256.04,206.59,241.99,232.23,0.73,1.32,0.12,0.72
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,40,7180,1.99,14380,3.99,0,41.9,20.9,72.1,2.65,2.81,3.21,2.92,256.07,206.48,241.29,231.93,0.74,1.34,0.12,0.73
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,41,7180,1.99,14380,3.99,0,41.9,20.9,72.1,2.65,2.81,3.21,2.92,256.04,206.36,240.63,231.63,0.76,1.35,0.12,0.74
10.302474,-1.097276,1.041400,0.630651,0.593529,0.500002,42,7180,1.99,14380,3.99,0,41.9,20.9,72.1,2.65,2.81,3.21,2.92,256.02,206.25,240.01,231.35,0.77,1.37,0.12,0.75
