X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,0,14020,3.89,21220,5.89,-20,21.0,7.2,67.1,2.57,2.86,2.93,2.81,253.07,274.10,176.35,232.19,0.42,0.59,0.13,0.37
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,1,11980,3.33,19180,5.33,-2040,30.8,15.9,69.7,2.71,2.90,2.95,2.87,309.87,281.68,184.36,252.23,0.42,0.59,0.13,0.37
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,2,10720,2.98,17920,4.98,-1260,33.8,17.3,71.0,2.68,2.88,2.97,2.86,293.46,263.89,195.76,245.73,0.42,0.59,0.13,0.38
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,3,9920,2.76,17120,4.76,-800,35.8,18.2,71.7,2.69,2.87,2.99,2.87,294.19,257.44,204.32,246.71,0.42,0.55,0.13,0.36
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,4,9400,2.61,16600,4.61,-520,37.0,18.9,72.1,2.69,2.86,3.00,2.87,287.70,250.47,210.99,244.97,0.42,0.55,0.13,0.36
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,5,9060,2.52,16260,4.52,-340,37.8,19.3,72.3,2.68,2.86,3.01,2.87,283.63,245.99,215.68,244.04,0.42,0.55,0.13,0.36
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,6,8840,2.46,16040,4.46,-220,38.4,19.5,72.5,2.68,2.85,3.02,2.87,281.02,243.11,218.79,243.46,0.42,0.55,0.13,0.36
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,7,8700,2.42,15900,4.42,-140,38.7,19.7,72.5,2.68,2.85,3.02,2.87,279.35,241.23,220.85,243.12,0.42,0.55,0.13,0.36
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,8,8600,2.39,15800,4.39,-100,38.9,19.8,72.6,2.67,2.85,3.02,2.87,278.28,240.03,222.11,242.87,0.42,0.56,0.13,0.36
7.690974,15.189011,1.041400,0.630419,-0.593776,0.500003,9,8560,2.38,15760,4.38,-40,39.1,19.9,72.7,2.67,2.85,3.02,2.87,277.63,239.24,222.92,242.72,0.42,0.56,0.13,0.36
