X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,0,14020,3.89,21220,5.89,-20,20.7,7.2,66.3,2.58,2.87,2.94,2.82,254.15,276.88,177.30,233.86,0.42,0.49,0.13,0.34
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,1,12100,3.36,19300,5.36,-1920,30.1,15.6,69.0,2.70,2.90,2.96,2.87,307.25,283.85,184.98,252.62,0.42,0.50,0.13,0.34
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,2,10880,3.02,18080,5.02,-1220,33.0,17.0,70.2,2.69,2.88,2.99,2.87,295.89,268.72,195.46,248.04,0.42,0.50,0.13,0.34
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,3,10100,2.81,17300,4.81,-780,34.9,17.9,70.9,2.70,2.88,3.00,2.88,296.55,262.53,203.58,248.93,0.42,0.46,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,4,9600,2.67,16800,4.67,-500,36.1,18.5,71.4,2.69,2.87,3.01,2.88,290.13,255.77,209.97,247.19,0.42,0.46,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,5,9280,2.58,16480,4.58,-320,36.9,18.8,71.6,2.68,2.86,3.02,2.88,286.02,251.37,214.55,246.22,0.42,0.47,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,6,9060,2.52,16260,4.52,-220,37.4,19.1,71.8,2.68,2.86,3.03,2.88,283.34,248.50,217.62,245.63,0.42,0.47,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,7,8900,2.47,16100,4.47,-160,37.8,19.3,71.9,2.68,2.86,3.03,2.88,281.60,246.60,219.71,245.27,0.42,0.47,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,8,8820,2.45,16020,4.45,-80,38.0,19.4,71.9,2.68,2.86,3.04,2.88,280.46,245.36,221.02,245.01,0.42,0.47,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,9,8760,2.43,15960,4.43,-60,38.1,19.5,72.0,2.68,2.86,3.04,2.88,279.74,244.54,221.90,244.85,0.42,0.47,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,10,8720,2.42,15920,4.42,-40,38.2,19.5,72.0,2.67,2.86,3.04,2.88,279.26,244.00,222.39,244.71,0.42,0.47,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,11,8680,2.41,15880,4.41,-40,38.3,19.5,72.0,2.67,2.86,3.04,2.88,278.98,243.64,222.72,244.63,0.42,0.47,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,12,8680,2.41,15880,4.41,0,38.3,19.6,72.1,2.67,2.86,3.04,2.88,278.79,243.41,222.84,244.54,0.42,0.47,0.13,0.33
6.715343,6.095718,1.041400,0.227347,-0.835651,0.500001,13,8660,2.41,15860,4.41,-20,38.4,19.6,72.1,2.67,2.86,3.04,2.88,278.61,243.19,222.99,244.47,0.42,0.47,0.13,0.33
