X,Y,Z,dX,dY,dZ,day,t_crit_melpeak_s,t_crit_melpeak_h,t_crit_cbtmin_s,t_crit_cbtmin_h,phase_shift_s,melatonin_supression,melatonin_supression_morning,melatonin_supression_evening,KSS_8-12,KSS_12-18,KSS_18-24,KSS_day,vPVTRT_8-12,vPVTRT_12-18,vPVTRT_18-24,vPVTRT_day,Eemel_8-12,Eemel_12-18,Eemel_18-24,Eemel_day
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,0,14020,3.89,21220,5.89,-20,21.5,7.2,68.3,2.57,2.86,2.90,2.80,251.10,270.64,173.97,229.51,0.44,0.67,0.14,0.41
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,1,11900,3.31,19100,5.31,-2120,31.6,16.3,70.8,2.70,2.89,2.93,2.86,307.64,277.59,182.38,249.40,0.44,0.67,0.14,0.41
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,2,10600,2.94,17800,4.94,-1300,34.8,17.7,72.0,2.70,2.88,2.95,2.86,301.29,263.74,193.75,246.88,0.44,0.67,0.14,0.41
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,3,9780,2.72,16980,4.72,-820,36.7,18.7,72.6,2.69,2.87,2.97,2.86,291.46,252.83,203.27,243.90,0.44,0.62,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,4,9260,2.57,16460,4.57,-520,38.0,19.3,73.0,2.68,2.86,2.98,2.86,285.38,246.03,210.03,242.37,0.44,0.62,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,5,8920,2.48,16120,4.48,-340,38.7,19.7,73.2,2.68,2.85,2.99,2.86,281.44,241.65,214.73,241.50,0.44,0.63,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,6,8720,2.42,15920,4.42,-200,39.3,20.0,73.4,2.68,2.85,3.00,2.86,278.95,238.86,217.77,240.98,0.44,0.63,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,7,8580,2.38,15780,4.38,-140,39.6,20.2,73.4,2.67,2.85,3.00,2.86,277.40,237.09,219.76,240.66,0.44,0.63,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,8,8500,2.36,15700,4.36,-80,39.8,20.3,73.5,2.67,2.85,3.00,2.86,276.41,235.95,220.93,240.44,0.44,0.63,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,9,8440,2.34,15640,4.34,-60,39.9,20.3,73.5,2.67,2.85,3.00,2.86,275.82,235.24,221.68,240.30,0.44,0.63,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,10,8400,2.33,15600,4.33,-40,40.0,20.4,73.6,2.67,2.84,3.00,2.86,275.46,234.79,222.03,240.17,0.44,0.63,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,11,8380,2.33,15580,4.33,-20,40.0,20.4,73.6,2.67,2.84,3.00,2.86,275.27,234.51,222.24,240.10,0.44,0.64,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,12,8380,2.33,15580,4.33,0,40.1,20.4,73.6,2.67,2.84,3.00,2.86,275.17,234.34,222.25,240.01,0.44,0.64,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,13,8360,2.32,15560,4.32,-20,40.1,20.4,73.6,2.67,2.84,3.00,2.86,275.07,234.18,222.29,239.95,0.44,0.64,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,14,8360,2.32,15560,4.32,0,40.1,20.4,73.6,2.67,2.84,3.00,2.86,275.04,234.10,222.20,239.87,0.44,0.64,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,15,8360,2.32,15560,4.32,0,40.1,20.4,73.6,2.67,2.84,3.00,2.86,275.07,234.06,222.12,239.83,0.44,0.64,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,16,8360,2.32,15560,4.32,0,40.2,20.4,73.6,2.67,2.84,3.00,2.86,275.10,234.05,221.94,239.77,0.44,0.64,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,17,8360,2.32,15560,4.32,0,40.1,20.4,73.6,2.67,2.84,3.00,2.86,275.17,234.07,221.73,239.72,0.44,0.64,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,18,8360,2.32,15560,4.32,0,40.1,20.4,73.6,2.67,2.84,3.00,2.86,275.25,234.08,221.58,239.69,0.44,0.65,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,19,8360,2.32,15560,4.32,0,40.1,20.4,73.6,2.67,2.84,3.00,2.86,275.32,234.11,221.36,239.63,0.44,0.65,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,20,8360,2.32,15560,4.32,0,40.1,20.4,73.6,2.67,2.84,3.00,2.86,275.41,234.13,221.20,239.60,0.44,0.65,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,21,8360,2.32,15560,4.32,0,40.1,20.4,73.6,2.67,2.84,3.00,2.86,275.40,234.11,221.04,239.53,0.44,0.65,0.14,0.40
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,22,8360,2.32,15560,4.32,0,40.1,20.4,73.6,2.67,2.84,3.00,2.86,275.47,234.11,220.91,239.50,0.44,0.65,0.14,0.41
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,23,8360,2.32,15560,4.32,0,40.1,20.4,73.6,2.67,2.84,3.00,2.86,275.18,233.74,220.44,239.11,0.44,0.66,0.14,0.41
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,24,8360,2.32,15560,4.32,0,40.2,20.4,73.6,2.67,2.84,3.00,2.86,274.92,233.32,220.09,238.76,0.44,0.67,0.14,0.41
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,25,8340,2.32,15540,4.32,-20,40.2,20.4,73.6,2.67,2.84,3.00,2.86,274.54,232.80,219.88,238.39,0.45,0.68,0.14,0.42
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,26,8340,2.32,15540,4.32,0,40.2,20.5,73.6,2.67,2.84,3.00,2.86,274.72,232.69,219.29,238.17,0.45,0.68,0.14,0.42
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,27,8340,2.32,15540,4.32,0,40.2,20.5,73.6,2.67,2.84,3.00,2.86,274.79,232.57,218.66,237.91,0.45,0.69,0.14,0.42
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,28,8340,2.32,15540,4.32,0,40.2,20.5,73.6,2.67,2.84,3.00,2.86,274.89,232.49,218.02,237.66,0.45,0.70,0.14,0.43
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,29,8340,2.32,15540,4.32,0,40.2,20.5,73.6,2.67,2.84,3.00,2.86,274.93,232.37,217.42,237.40,0.45,0.71,0.14,0.43
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,30,8340,2.32,15540,4.32,0,40.3,20.5,73.6,2.67,2.84,3.00,2.86,274.88,232.15,216.99,237.15,0.45,0.71,0.14,0.43
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,31,8320,2.31,15520,4.31,-20,40.3,20.5,73.6,2.67,2.84,3.00,2.86,274.85,231.97,216.51,236.89,0.45,0.72,0.14,0.43
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,32,8320,2.31,15520,4.31,0,40.3,20.5,73.6,2.67,2.84,3.00,2.86,274.87,231.81,216.01,236.65,0.42,0.73,0.14,0.43
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,33,8320,2.31,15520,4.31,0,40.3,20.5,73.7,2.67,2.84,3.00,2.86,274.84,231.62,215.55,236.40,0.42,0.74,0.14,0.43
9.317879,9.517371,1.041400,0.220778,0.837412,0.499999,34,8320,2.31,15520,4.31,0,40.3,20.5,73.7,2.67,2.84,3.00,2.86,274.80,231.42,215.13,236.16,0.42,0.74,0.14,0.44
