Viewname,X,Y,Z,nX,nY,nZ,EML,Lux,M/P,390,410,430,450,470,490,510,530,550,570,590,610,630,650,670,690,710,730,750,770
L1,5.04703145254,0.353925395362,1.04139999509,0.630651175976,0.593529343605,0.500001966953,467.5,494.1,0.946177,0.000591509853165,0.00307759197151,0.00464412786674,0.00616869650912,0.00672746574995,0.00667576243215,0.00668906630998,0.00688201774097,0.00744107213601,0.0074216681086,0.0069686074466,0.00653055242773,0.00585937428056,0.00497838356559,0.00412095590799,0.00318617200548,0.00167317759742,0.000968755287832,0.000209027721655,6.3769434419e-05
L2,7.66664457321,-0.376248240471,1.04139998555,0.630653321743,0.593528628349,0.500000178814,844.0,861.5,0.979694,0.00131382056165,0.00610638792377,0.00871502089019,0.0113961953363,0.0122941746314,0.0120644088355,0.0119415671082,0.012149986164,0.0130098463942,0.0128324533913,0.0119464561489,0.0111418951268,0.00995886516526,0.00844707310437,0.00698730735019,0.0053938898955,0.00278293965284,0.00158997280373,0.00046091629221,0.00019466460893
L3,10.3024735401,-1.09727578803,1.04139998220,0.630650937557,0.593529284,0.500002384186,2015.1,1919.6,1.049771,0.00457137212309,0.0174684053769,0.0223151381006,0.0283765433454,0.030012557503,0.0288364827554,0.0279064976877,0.0277818072371,0.0291344163389,0.0280909462661,0.0257070474777,0.0237092984726,0.020967629914,0.0176276504647,0.0144584767966,0.0110358153696,0.00608307855807,0.00353681590731,0.00148381608275,0.000799946233281
cL1,6.71534275768,6.09571763121,1.04140000289,0.227346614003,-0.835650920868,0.500001072884,501.3,501.5,0.999664,0.000868879924768,0.00375682592435,0.00523291715555,0.00681668158252,0.00734801548326,0.00719135988253,0.00706731700286,0.00713184628639,0.00758972987791,0.00742035066427,0.00687550300265,0.00639449005898,0.00570020605701,0.00483464951301,0.00399308096988,0.00307574981953,0.00157612231395,0.000902069127299,0.000417072910811,0.000243718538908
cL2,9.32217595494,5.30242099146,1.04139995992,0.227340534329,-0.835653960705,0.499998778105,1050.9,1034.4,1.015956,0.00204882705461,0.00830641481435,0.0111247428619,0.0144110026026,0.0154790309847,0.0150811038545,0.0147508538555,0.0148181725526,0.0156881127452,0.0152377586587,0.0140458984748,0.0130355931115,0.0115968530998,0.00981352333675,0.00809096885777,0.00620298510859,0.00329577935131,0.0019042210116,0.000970724385211,0.000578513232988
cL3,11.9229479083,4.50213537832,1.04140001119,0.227342709899,-0.835651993752,0.500001072884,2514.2,2411.2,1.042749,0.00580170582336,0.0215604766764,0.0272479029659,0.0349749704413,0.0373295604742,0.0360805786441,0.0350263714797,0.0349328918747,0.036650673605,0.0352818505391,0.0322794729698,0.0298129654835,0.0264019762627,0.0221947106259,0.0181893023119,0.0138062478639,0.00791654767158,0.00468186699151,0.00246454645367,0.00146991859828
cR1,6.71646952629,8.73287105560,1.04139998555,0.220778331161,0.837412059307,0.499997973442,500.1,502.0,0.996261,0.000864961045625,0.00375385291289,0.00525056445776,0.0068152064272,0.00732227991718,0.00715877902226,0.00704447041536,0.00712426022847,0.00759005167205,0.00744025490633,0.00690371415336,0.00642344914212,0.0057277302091,0.00486100835611,0.00402391068059,0.0031145961073,0.00160403048831,0.000920789043457,0.000350809951391,0.000186411652068
cR2,9.31787894585,9.51737115780,1.04140006088,0.220778241754,0.837411701679,0.499998569489,935.6,915.5,1.021874,0.0018333589946,0.00751013441572,0.0100811445493,0.0129512145458,0.013810878832,0.0133932840263,0.0130731601879,0.0131204710954,0.0138760628551,0.0134817089143,0.0124245562184,0.011512688798,0.0102293634086,0.00865777259737,0.00715477013634,0.00551674277407,0.00289921944798,0.00166579644431,0.000706694831359,0.000388450357438
cR3,11.9296364784,10.2839703560,1.04139998555,0.220777571201,0.837409198284,0.500003099442,1919.9,1807.2,1.062382,0.00456189313503,0.0170577132148,0.0215373090913,0.0272361527006,0.028692704496,0.0274707023965,0.026487205512,0.026276368221,0.0274559285407,0.0263552555768,0.0240507730336,0.0221248653669,0.0195273844791,0.0164212203342,0.0135002487174,0.0103323582433,0.00574068760066,0.00334746195959,0.001497215543,0.000835014128152
R1,5.07442509303,14.4362595335,1.04140007032,0.630417943001,-0.593777954578,0.500000953674,463.8,489.7,0.947225,0.000594221157977,0.0030670705377,0.00461732775148,0.00612411129366,0.00667533868343,0.00662272932397,0.00663549395765,0.00682356909227,0.00737410231473,0.0073522306679,0.00690142097185,0.00646677545748,0.00580216063636,0.00493779409347,0.00410067849624,0.00318351819947,0.00167350456894,0.000971621167336,0.000222421232888,7.52574267612e-05
R2,7.69097402449,15.1890108702,1.04140005925,0.630418598652,-0.593775868416,0.500002622604,849.8,864.7,0.982706,0.00137645123984,0.00624618836159,0.00880475207131,0.01149076936,0.0123856167378,0.0121442559981,0.0120157414543,0.0122172339708,0.0130666637696,0.0128686854999,0.0119684528494,0.0111534653785,0.00996204168763,0.00845387060734,0.00700720442357,0.0054185190951,0.00286960323572,0.00165618851955,0.000502568272434,0.000222399179236
R3,10.2893643058,15.9183362207,1.04140001206,0.630418598652,-0.593778550625,0.499999403954,2015.3,1920.3,1.049482,0.00466461237373,0.0175585332251,0.0222519660875,0.0283229216088,0.0299967258685,0.0288482903702,0.0279374695773,0.0278218371539,0.0291644164738,0.0280868234778,0.0256946169842,0.0236890334069,0.0209506401392,0.0176281825402,0.0144997715874,0.0110851263391,0.0062599422733,0.00367660479558,0.00163924354898,0.000912430659685
