Viewname,X,Y,Z,nX,nY,nZ,EML,Lux,M/P,390,410,430,450,470,490,510,530,550,570,590,610,630,650,670,690,710,730,750,770
L1,5.04703145254,0.353925395362,1.04139999509,0.630651175976,0.593529343605,0.500001966953,261.0,190.6,1.369526,5.18090882906e-06,5.21127622051e-05,0.000783729017712,0.00359513959847,0.00615327898413,0.0032267763745,0.00366804259829,0.00324933510274,0.00170239980798,0.00194922473747,0.00260793557391,0.00277307652868,0.00360806635581,0.00235015922226,0.00101402774453,0.000473664287711,0.000214367522858,0.000108549516881,4.99694069731e-05,2.72941342701e-05
L2,7.66664457321,-0.376248240471,1.04139998555,0.630653321743,0.593528628349,0.500000178814,266.1,194.2,1.370283,5.31482191946e-06,5.33195307071e-05,0.000799628905952,0.00366674060933,0.00627384567633,0.00328879687004,0.00373787432909,0.00331124197692,0.00173481123056,0.00198583095334,0.00265581905842,0.0028236832004,0.00367396883667,0.00239372090437,0.00103369564749,0.000483258219901,0.000218632587348,0.000110632405267,5.12621263624e-05,2.80168533209e-05
L3,10.3024735401,-1.09727578803,1.04139998220,0.630650937557,0.593529284,0.500002384186,202.3,147.7,1.369724,3.96796440327e-06,4.04172860726e-05,0.000607737398241,0.0027859583497,0.00476848706603,0.00250058225356,0.00284251617268,0.00251810951158,0.001319653471,0.00151083804667,0.00202014879324,0.00214716768824,0.00279360613786,0.00182130618487,0.000787775963545,0.000369560031686,0.000166916099261,8.43760717544e-05,3.81079989893e-05,2.06567765417e-05
cL1,6.71534275768,6.09571763121,1.04140000289,0.227346614003,-0.835650920868,0.500001072884,239.0,174.6,1.368822,4.58982685814e-06,4.71908060717e-05,0.000717176648322,0.00329095660709,0.00563307385892,0.00295467162505,0.00335862394422,0.00297478889115,0.00155896646902,0.0017861390952,0.00239047617652,0.00254159024917,0.00330686708912,0.00215460197069,0.000929919187911,0.000434973539086,0.000193334344658,9.7272117273e-05,4.41186857643e-05,2.39838864218e-05
cL2,9.32217595494,5.30242099146,1.04139995992,0.227340534329,-0.835653960705,0.499998778105,270.9,197.7,1.370310,5.41950385013e-06,5.43410642422e-05,0.000814132217783,0.00373315950856,0.00638762954623,0.00334842549637,0.00380572909489,0.00337145430967,0.00176637119148,0.0020218193531,0.0027037805412,0.0028746847529,0.00374021590687,0.00243665510789,0.00105213210918,0.000491786457133,0.000223100054427,0.000113009838969,5.22647605976e-05,2.85457408609e-05
cL3,11.9229479083,4.50213537832,1.04140001119,0.227342709899,-0.835651993752,0.500001072884,209.4,152.8,1.369731,4.14130499848e-06,4.19667157985e-05,0.000628862937447,0.00288272742182,0.00493466109037,0.00258783507161,0.00294199166819,0.00260644732043,0.00136584206484,0.00156338943634,0.0020903351251,0.00222193473019,0.00289080385119,0.00188414973672,0.000814585131593,0.000381806254154,0.000173839638592,8.80820589373e-05,3.97954827349e-05,2.1579229724e-05
cR1,6.71646952629,8.73287105560,1.04139998555,0.220778331161,0.837412059307,0.499997973442,280.5,204.8,1.369795,5.6114686231e-06,5.62409477425e-05,0.000842375913635,0.00386297213845,0.00661230832338,0.00346778030507,0.00394245842472,0.00349266827106,0.00182961672544,0.002094153082,0.00280109676532,0.00297799427062,0.00387448119,0.002524406882,0.00109019305091,0.0005097752437,0.000232752980082,0.000118247480714,5.41237859579e-05,2.94677865895e-05
cR2,9.31787894585,9.51737115780,1.04140006088,0.220778241754,0.837411701679,0.499998569489,265.0,193.4,1.370559,5.31058549313e-06,5.3129690059e-05,0.000796659558546,0.00365216750652,0.0062487362884,0.00327591691166,0.0037233447656,0.00329823512584,0.00172774295788,0.00197749002837,0.00264423643239,0.00281062768772,0.0036568697542,0.00238416041248,0.00103115406819,0.000483111361973,0.000218219094677,0.00011043556151,5.13134873472e-05,2.80647673208e-05
cR3,11.9296364784,10.2839703560,1.04139998555,0.220777571201,0.837409198284,0.500003099442,192.0,140.2,1.369896,3.75842932954e-06,3.83429323847e-05,0.000576763355639,0.00264240498655,0.00452402234077,0.00237374333665,0.00269911577925,0.00239091459662,0.00125249428675,0.0014335163869,0.001916291425,0.00203545135446,0.00264804763719,0.00172929512337,0.000750818464439,0.000354187417543,0.000159734670888,8.06395473774e-05,3.61357706424e-05,1.95607026399e-05
R1,5.07442509303,14.4362595335,1.04140007032,0.630417943001,-0.593777954578,0.500000953674,243.7,178.0,1.368773,4.66629353468e-06,4.80818271171e-05,0.000731172447558,0.00335480505601,0.0057429340668,0.00301280501299,0.0034249916207,0.0030335157644,0.0015896151308,0.00182119011879,0.00243734614924,0.00259105372243,0.00337119190954,0.00219735968858,0.000949171138927,0.000444562203484,0.000197594752535,9.9418888567e-05,4.48566279374e-05,2.43606118602e-05
R2,7.69097402449,15.1890108702,1.04140005925,0.630418598652,-0.593775868416,0.500002622604,245.7,179.3,1.369996,4.81229744764e-06,4.88884070364e-05,0.000738076632842,0.00338439736515,0.0057912832126,0.00303678051569,0.00345162767917,0.00305724702775,0.0016017210437,0.00183401198592,0.00245306314901,0.00260731833987,0.00339241768233,0.0022121889051,0.000956905307248,0.000448700448032,0.00020044206758,0.00010101308726,4.63637152279e-05,2.52770423685e-05
R3,10.2893643058,15.9183362207,1.04140001206,0.630418598652,-0.593778550625,0.499999403954,188.0,137.3,1.369879,3.66888343706e-06,3.74743976863e-05,0.000564923277125,0.00258838059381,0.00443108240142,0.00232483446598,0.00264328741468,0.00234132632613,0.00122656463645,0.0014040627284,0.00187710195314,0.00199386989698,0.00259404233657,0.00169410835952,0.000735549780075,0.00034707877785,0.000155772999278,7.85796728451e-05,3.53021896444e-05,1.91379331227e-05
