month,day,full_time,hour,minute,altitude,azimuth,irradmean,skycover,class,doy
1,23,8.5,8,29,6.235,-55.178,79.625,7.193,Simulation Position,23
1,23,9.833,9,49,16.856,-39.282,156.409,6.932,Simulation Position,23
1,23,11.167,11,10,24.105,-20.703,224,6.875,Simulation Position,23
1,23,12.5,12,30,26.721,-0.035,262.614,7.053,Simulation Position,23
1,23,13.833,13,50,24.122,20.637,233.977,6.955,Simulation Position,23
1,23,15.167,15,10,16.887,39.224,167.648,6.92,Simulation Position,23
1,23,16.5,16,30,6.275,55.129,92.636,7,Simulation Position,23
3,9,7.637,7,38,8.7,-74.221,126.443,6.489,Simulation Position,68
3,9,9.244,9,14,24.437,-55.221,285,6.902,Simulation Position,68
3,9,10.851,10,51,36.378,-30.935,392.466,7.568,Simulation Position,68
3,9,12.458,12,27,41.166,-0.593,418.614,7.712,Simulation Position,68
3,9,14.065,14,3,36.706,29.902,370.898,7.727,Simulation Position,68
3,9,15.673,15,40,24.966,54.431,253.53,7.508,Simulation Position,68
3,9,17.28,17,16,9.323,73.574,105.818,7.17,Simulation Position,68
4,23,6.464,6,27,10.361,-97.014,156.011,6.284,Simulation Position,113
4,23,8.393,8,23,31.145,-76.353,345.371,6.432,Simulation Position,113
4,23,10.321,10,19,49.628,-47.755,540.508,6.659,Simulation Position,113
4,23,12.25,12,14,58.512,-0.841,565.25,6.765,Simulation Position,113
4,23,14.179,14,10,50.105,46.611,440.856,6.652,Simulation Position,113
4,23,16.107,16,6,31.775,75.636,242.288,6.523,Simulation Position,113
4,23,18.036,18,2,11.007,96.407,77.75,6.375,Simulation Position,113
6,7,5.827,5,49,10.747,-111.195,112.5,5.295,Simulation Position,158
6,7,7.982,7,58,33.58,-90.358,375.057,5.233,Simulation Position,158
6,7,10.137,10,8,56.187,-62.152,645.697,5.985,Simulation Position,158
6,7,12.292,12,17,69.016,0.24,708.902,6.303,Simulation Position,158
6,7,14.446,14,26,56.068,62.374,587.068,6.189,Simulation Position,158
6,7,16.601,16,36,33.445,90.486,345.326,5.614,Simulation Position,158
6,7,18.756,18,45,10.622,111.314,159.989,5.205,Simulation Position,158
7,22,6.131,6,7,11.024,-107.814,198.045,5.307,Simulation Position,203
7,22,8.226,8,13,33.436,-87.035,391.72,5.492,Simulation Position,203
7,22,10.321,10,19,55.073,-58.42,608.811,6.068,Simulation Position,203
7,22,12.417,12,24,66.771,0.145,677.78,6.47,Simulation Position,203
7,22,14.512,14,30,54.997,58.57,567.47,6.811,Simulation Position,203
7,22,16.607,16,36,33.348,87.122,359.205,6.28,Simulation Position,203
7,22,18.702,18,42,10.94,107.893,168.625,5.955,Simulation Position,203
9,5,6.827,6,49,10.425,-89.349,133.636,5.909,Simulation Position,248
9,5,8.649,8,38,29.753,-68.926,325.205,5.856,Simulation Position,248
9,5,10.47,10,28,45.96,-40.998,515.409,6.311,Simulation Position,248
9,5,12.292,12,17,53.042,-0.022,567.053,6.652,Simulation Position,248
9,5,14.113,14,6,45.973,40.964,461.879,6.47,Simulation Position,248
9,5,15.935,15,56,29.771,68.904,298.5,6.477,Simulation Position,248
9,5,17.756,17,45,10.445,89.331,177.614,6.5,Simulation Position,248
10,20,7.583,7,34,8.49,-66.162,115.17,7.432,Simulation Position,293
10,20,9.083,9,4,22.146,-48.092,206.886,7.409,Simulation Position,293
10,20,10.583,10,35,31.954,-25.78,331.583,7.038,Simulation Position,293
10,20,12.083,12,5,35.539,0.526,385.386,6.92,Simulation Position,293
10,20,13.583,13,35,31.676,26.732,335.129,6.909,Simulation Position,293
10,20,15.083,15,5,21.675,48.861,224.625,6.898,Simulation Position,293
10,20,16.583,16,35,7.912,66.799,126.625,6.807,Simulation Position,293
12,7,8.381,8,22,5.841,-50.854,70.5,8.31,Simulation Position,341
12,7,9.643,9,38,15.245,-35.864,138.06,8.13,Simulation Position,341
12,7,10.905,10,54,21.532,-18.674,183.58,7.99,Simulation Position,341
12,7,12.167,12,10,23.748,0.111,201.47,7.79,Simulation Position,341
12,7,13.429,13,25,21.481,18.886,173.587,7.747,Simulation Position,341
12,7,14.69,14,41,15.152,36.051,95.48,7.72,Simulation Position,341
12,7,15.952,15,57,5.717,51.016,61.62,7.5,Simulation Position,341
